Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
1,1,142,Karl,Meltzer,male,38,UT,US,00:00:00,02:19:00,02:19:00,04:05:00,04:06:00,04:58:00,04:58:00,06:54:00,06:55:00,"","",13:05:00,13:08:00,14:28:00,14:30:00,16:44:00,16:48:00,18:10:00,18:13:00,19:14:00,19:16:00,22:50:00,22:56:00,25:29:00,25:30:00,27:25:00,27:26:00,28:29:15
2,2,1,Paul,Sweeney,male,39,CA,US,00:00:00,02:22:00,02:22:00,04:23:00,04:24:00,05:19:00,05:21:00,07:20:00,07:23:00,11:35:00,11:35:00,13:23:00,13:25:00,14:53:00,15:03:00,17:02:00,17:04:00,18:27:00,18:30:00,19:47:00,19:58:00,23:19:00,23:23:00,26:10:00,26:14:00,28:38:00,28:43:00,30:02:28
3,3,135,Hal,Koerner,male,29,WA,US,00:00:00,02:15:00,02:17:00,04:04:00,04:06:00,04:57:00,04:58:00,06:53:00,06:55:00,10:50:00,10:51:00,12:28:00,12:29:00,13:59:00,14:07:00,16:27:00,16:28:00,18:01:00,18:06:00,19:22:00,19:32:00,23:52:00,24:21:00,27:34:00,27:39:00,30:09:00,30:11:00,31:29:27
4,4,124,Zachary,Grossman,male,28,CA,US,00:00:00,02:28:00,02:29:00,04:39:00,04:40:00,05:39:00,05:40:00,07:47:00,07:49:00,12:14:00,12:15:00,14:13:00,14:14:00,15:47:00,15:57:00,19:04:00,19:06:00,20:49:00,20:53:00,21:57:00,22:00:00,25:32:00,25:35:00,28:13:00,28:14:00,30:26:00,30:27:00,31:34:58
5,5,136,Tim,Laney,male,47,,,00:00:00,02:22:00,02:23:00,04:22:00,04:24:00,05:21:00,05:23:00,07:30:00,07:34:00,11:31:00,11:36:00,13:28:00,13:30:00,15:12:00,15:26:00,17:42:00,17:48:00,19:15:00,19:18:00,20:36:00,20:55:00,24:34:00,24:44:00,27:46:00,27:53:00,30:15:00,30:16:00,31:46:50
6,6,179,Garrett,Graubins,male,33,CO,US,00:00:00,02:23:00,02:24:00,04:22:00,04:23:00,05:18:00,05:20:00,07:22:00,07:26:00,11:33:00,11:43:00,13:35:00,13:36:00,15:41:00,15:41:00,18:14:00,18:19:00,19:44:00,19:48:00,21:07:00,21:16:00,24:55:00,25:03:00,28:13:00,28:16:00,30:36:00,30:37:00,31:51:24
7,7,14,Hiroki,Ishikawa,male,30,,,00:00:00,02:19:00,02:19:00,04:22:00,04:23:00,05:17:00,05:19:00,07:13:00,07:20:00,11:28:00,11:39:00,13:31:00,13:34:00,15:14:00,15:42:00,18:17:00,18:27:00,20:13:00,20:19:00,21:34:00,21:48:00,25:35:00,25:42:00,28:23:00,28:28:00,30:46:00,30:48:00,31:55:18
8,1,132,Sue,Johnston,female,40,VT,US,00:00:00,02:29:00,02:29:00,04:32:00,04:32:00,05:31:00,05:32:00,07:34:00,07:36:00,11:01:00,12:07:00,14:06:00,14:07:00,15:48:00,16:01:00,18:19:00,18:32:00,19:45:00,19:48:00,21:07:00,21:16:00,25:06:00,25:13:00,28:15:00,28:20:00,30:23:00,30:44:00,32:07:41
9,8,128,Tom,Hayes-McGoff,male,55,MT,US,00:00:00,02:27:00,02:28:00,04:26:00,04:27:00,05:27:00,05:27:00,07:33:00,07:36:00,11:38:00,11:38:00,13:40:00,13:40:00,15:31:00,15:37:00,18:01:00,18:04:00,19:38:00,19:42:00,21:01:00,21:07:00,25:07:00,25:13:00,28:15:00,28:18:00,31:02:00,31:02:00,32:26:00
10,9,161,Brett,Sublett,male,40,CO,US,00:00:00,02:25:00,02:27:00,04:22:00,04:24:00,05:18:00,05:20:00,07:13:00,07:21:00,11:15:00,11:23:00,13:11:00,13:13:00,14:54:00,15:04:00,17:37:00,17:47:00,19:16:00,19:28:00,20:48:00,21:00:00,25:13:00,25:33:00,28:41:00,28:51:00,31:21:00,31:22:00,32:47:58
11,10,131,Scott,Jaime,male,36,CO,US,00:00:00,02:21:00,02:22:00,04:23:00,04:24:00,05:19:00,05:21:00,07:27:00,07:31:00,11:59:00,12:10:00,14:05:00,14:07:00,15:48:00,16:06:00,18:46:00,18:52:00,20:20:00,20:24:00,21:40:00,22:00:00,25:41:00,25:51:00,28:57:00,29:05:00,31:41:00,31:52:00,33:18:48
12,11,5,Tom,Garrison,male,46,NM,US,00:00:00,02:26:00,02:28:00,04:31:00,04:31:00,05:32:00,05:33:00,07:36:00,07:39:00,11:57:00,12:12:00,14:05:00,14:07:00,15:48:00,16:09:00,19:05:00,19:15:00,20:48:00,20:55:00,22:29:00,23:00:00,26:52:00,27:10:00,29:51:00,29:56:00,32:25:00,32:27:00,33:51:58
13,12,166,Ian,Torrence,male,33,NV,US,00:00:00,02:20:00,02:21:00,04:22:00,04:23:00,05:18:00,05:19:00,07:08:00,07:11:00,11:18:00,11:21:00,13:26:00,13:28:00,15:12:00,15:35:00,18:28:00,18:47:00,20:40:00,20:45:00,22:37:00,24:03:00,27:38:00,27:50:00,30:34:00,30:39:00,32:56:00,32:56:00,34:03:40
14,13,9,James,Miller,male,50,CO,US,00:00:00,02:55:00,03:02:00,05:11:00,05:14:00,06:15:00,06:18:00,08:26:00,08:35:00,12:59:00,13:12:00,15:13:00,15:16:00,17:08:00,17:40:00,20:18:00,20:28:00,21:51:00,21:55:00,23:19:00,23:30:00,27:14:00,27:25:00,30:15:00,30:23:00,32:54:00,32:56:00,34:16:30
15,14,12,Jared,Campbell,male,26,UT,US,00:00:00,02:18:00,02:19:00,04:22:00,04:22:00,05:20:00,05:23:00,07:30:00,07:35:00,11:41:00,11:47:00,13:46:00,13:50:00,15:37:00,15:51:00,18:20:00,18:32:00,20:15:00,20:24:00,21:43:00,22:00:00,26:19:00,26:40:00,29:53:00,30:16:00,33:14:00,33:17:00,34:53:28
16,2,4,Betsy,Kalmeyer,female,44,CO,US,00:00:00,02:27:00,02:28:00,04:36:00,04:38:00,05:38:00,05:39:00,07:47:00,07:54:00,12:18:00,12:25:00,14:17:00,14:21:00,16:20:00,16:32:00,19:03:00,19:11:00,20:50:00,20:55:00,22:22:00,22:52:00,27:13:00,27:20:00,30:39:00,30:44:00,33:28:00,33:30:00,34:55:21
17,15,7,Tyler,Curiel,male,49,LA,US,00:00:00,02:30:00,02:31:00,04:47:00,04:47:00,05:51:00,05:52:00,08:13:00,08:16:00,12:57:00,13:09:00,15:10:00,15:11:00,17:08:00,17:31:00,20:17:00,20:33:00,22:08:00,22:13:00,23:36:00,24:06:00,27:44:00,27:57:00,31:06:00,31:15:00,33:49:00,33:50:00,35:29:23
18,16,180,Neal,Taylor,male,43,CO,US,00:00:00,02:37:00,02:40:00,04:47:00,04:48:00,05:51:00,05:52:00,08:11:00,08:18:00,12:28:00,12:33:00,14:27:00,14:28:00,16:55:00,17:12:00,19:39:00,19:46:00,21:25:00,21:27:00,23:15:00,23:20:00,27:58:00,28:11:00,31:20:00,31:21:00,34:13:00,34:18:00,35:50:16
19,17,3,Kirk,Apt,male,43,CO,US,00:00:00,02:26:00,02:28:00,04:32:00,04:34:00,05:32:00,05:35:00,07:47:00,07:55:00,12:12:00,12:12:00,14:12:00,14:17:00,16:18:00,16:36:00,19:00:00,19:19:00,20:49:00,20:58:00,22:26:00,22:41:00,26:54:00,27:10:00,30:34:00,30:46:00,33:48:00,34:03:00,35:52:16
20,3,10,Emily,Baer,female,29,CO,US,00:00:00,02:30:00,02:31:00,04:36:00,04:38:00,05:44:00,05:45:00,08:00:00,08:05:00,12:22:00,12:23:00,14:40:00,14:43:00,17:15:00,17:38:00,20:28:00,20:38:00,22:38:00,22:47:00,24:58:00,25:03:00,29:20:00,29:30:00,32:12:00,32:14:00,34:01:00,34:43:00,36:11:43
21,18,133,Jake,Jones,male,32,CO,US,00:00:00,02:33:00,02:33:00,04:47:00,04:52:00,05:52:00,05:54:00,08:08:00,08:21:00,13:03:00,13:25:00,15:43:00,15:59:00,18:05:00,18:28:00,21:37:00,21:54:00,23:18:00,23:24:00,24:49:00,25:14:00,29:19:00,29:36:00,32:31:00,32:39:00,35:12:00,35:15:00,36:44:56
22,4,146,Betsy,Nye,female,41,CA,US,00:00:00,02:29:00,02:29:00,04:42:00,04:43:00,05:47:00,05:49:00,07:58:00,08:01:00,12:29:00,12:29:00,14:46:00,14:48:00,17:09:00,17:30:00,20:15:00,20:17:00,22:26:00,22:30:00,24:05:00,24:26:00,28:51:00,29:10:00,32:23:00,32:24:00,35:15:00,35:17:00,36:58:25
23,19,145,James,Nelson,male,45,UT,US,00:00:00,02:21:00,02:21:00,04:22:00,04:23:00,05:17:00,05:18:00,07:13:00,07:20:00,11:39:00,11:45:00,13:48:00,13:50:00,15:43:00,16:12:00,19:10:00,19:26:00,21:12:00,21:22:00,22:59:00,24:32:00,28:32:00,28:40:00,32:32:00,32:34:00,35:49:00,35:53:00,37:32:58
24,20,148,Raymond,Olexa,male,39,CO,US,00:00:00,02:37:00,02:39:00,04:48:00,04:52:00,05:52:00,05:55:00,08:09:00,08:21:00,12:58:00,13:05:00,15:09:00,15:15:00,17:20:00,17:41:00,20:15:00,20:19:00,22:00:00,22:05:00,23:51:00,24:04:00,28:22:00,28:38:00,32:14:00,32:24:00,35:27:00,35:35:00,37:33:39
25,21,6,Blake,Wood,male,46,NM,US,00:00:00,02:37:00,02:41:00,04:59:00,05:05:00,06:07:00,06:10:00,08:20:00,08:38:00,12:59:00,13:08:00,15:12:00,15:17:00,17:26:00,17:51:00,20:43:00,20:59:00,22:38:00,22:46:00,24:15:00,24:38:00,28:29:00,28:36:00,32:14:00,32:20:00,35:18:00,35:31:00,37:44:30
26,22,42,Mike,Ehrlich,male,42,CO,US,00:00:00,02:25:00,02:26:00,04:31:00,04:31:00,05:28:00,05:30:00,07:30:00,07:35:00,11:59:00,12:09:00,14:14:00,14:14:00,16:03:00,16:19:00,19:26:00,19:32:00,21:23:00,21:25:00,23:02:00,23:24:00,27:48:00,28:00:00,31:52:00,31:59:00,35:35:00,35:44:00,37:49:55
27,23,18,Don,Platt,male,51,CO,US,00:00:00,02:24:00,02:24:00,04:36:00,04:37:00,05:42:00,05:44:00,07:55:00,07:58:00,12:19:00,12:28:00,14:28:00,14:29:00,16:45:00,17:09:00,19:57:00,20:08:00,22:04:00,22:07:00,23:37:00,24:06:00,28:25:00,28:50:00,32:43:00,32:57:00,36:13:00,36:18:00,37:51:40
28,24,139,Glenn,Mackie,male,43,TX,US,00:00:00,02:32:00,02:33:00,04:46:00,04:47:00,05:52:00,05:53:00,08:12:00,08:14:00,12:53:00,12:56:00,15:11:00,15:11:00,17:37:00,17:49:00,20:36:00,20:39:00,22:35:00,22:38:00,24:23:00,24:29:00,29:03:00,29:09:00,32:48:00,32:49:00,36:13:00,36:15:00,37:58:21
29,25,16,Dennis,Drey,male,54,NM,US,00:00:00,02:49:00,02:51:00,05:13:00,05:18:00,06:26:00,06:28:00,08:50:00,09:03:00,13:51:00,13:59:00,16:21:00,16:24:00,18:56:00,19:18:00,22:17:00,22:22:00,24:10:00,24:18:00,25:47:00,26:01:00,30:34:00,30:46:00,33:59:00,34:03:00,36:53:00,36:59:00,38:32:31
30,26,20,Mark,Heaphy,male,43,MT,US,00:00:00,03:05:00,03:13:00,05:58:00,06:02:00,07:25:00,07:28:00,10:13:00,10:25:00,14:49:00,15:08:00,17:28:00,17:39:00,20:00:00,20:38:00,23:34:00,23:42:00,25:14:00,25:20:00,26:31:00,27:00:00,31:04:00,31:19:00,35:07:00,35:23:00,38:40:00,38:41:00,41:22:24
31,27,13,Randy,Isler,male,48,NM,US,00:00:00,02:37:00,02:38:00,05:01:00,05:05:00,06:09:00,06:11:00,08:26:00,08:35:00,13:12:00,13:25:00,15:44:00,15:55:00,18:20:00,18:52:00,22:27:00,23:33:00,25:17:00,25:24:00,26:45:00,26:59:00,31:28:00,31:35:00,35:09:00,35:23:00,38:42:00,38:44:00,41:23:56
32,28,163,David,Terry,male,44,OR,US,00:00:00,02:28:00,02:30:00,04:30:00,04:31:00,05:26:00,05:31:00,07:20:00,07:23:00,11:29:00,11:35:00,13:23:00,13:25:00,15:46:00,15:46:00,18:58:00,19:21:00,21:25:00,21:26:00,23:32:00,24:06:00,29:20:00,29:33:00,34:19:00,34:29:00,39:07:00,39:14:00,41:59:24
33,29,117,David,Fullford,male,45,WA,US,00:00:00,02:23:00,02:24:00,04:43:00,04:43:00,05:53:00,05:54:00,08:30:00,08:34:00,14:13:00,14:34:00,16:59:00,17:01:00,19:43:00,20:08:00,23:23:00,23:32:00,25:24:00,25:27:00,27:04:00,27:21:00,32:48:00,33:09:00,37:29:00,37:39:00,41:07:00,41:13:00,43:30:23
34,30,158,Murray,Schart,male,46,UT,US,00:00:00,02:38:00,02:39:00,05:04:00,05:13:00,06:20:00,06:29:00,08:47:00,09:05:00,15:49:00,18:02:00,20:34:00,20:39:00,23:26:00,24:06:00,26:43:00,26:49:00,28:09:00,28:11:00,29:34:00,29:58:00,33:55:00,34:08:00,38:00:00,38:06:00,41:37:00,41:37:00,43:31:39
