Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
1,1,,Kirk,Apt,male,,,,00:00:00,02:14:00,02:16:00,04:08:00,04:08:00,05:10:00,05:11:00,07:10:00,07:13:00,10:51:00,10:51:00,12:42:00,12:44:00,14:20:00,14:27:00,16:30:00,16:34:00,18:02:00,18:05:00,19:25:00,19:34:00,23:07:00,23:08:00,26:09:00,26:10:00,28:18:00,28:19:00,29:35:00
2,2,,Scott,Gordon,male,,,,00:00:00,02:14:00,02:17:00,04:09:00,04:10:00,05:12:00,05:13:00,07:08:00,07:13:00,10:40:00,11:06:00,12:32:00,12:33:00,14:19:00,14:26:00,16:38:00,16:40:00,18:08:00,18:12:00,19:38:00,19:44:00,23:30:00,23:36:00,26:26:00,26:30:00,28:33:00,28:34:00,29:49:15
3,3,,David,Horton,male,,,,00:00:00,02:16:00,02:18:00,04:15:00,04:15:00,05:18:00,05:19:00,07:24:00,07:24:00,11:13:00,11:18:00,13:10:00,13:10:00,14:50:00,15:01:00,17:12:00,17:13:00,18:43:00,18:45:00,19:48:00,19:55:00,23:38:00,23:42:00,26:36:00,26:38:00,28:58:00,28:59:00,30:12:23
4,4,,James,Nelson,male,,,,00:00:00,02:14:00,02:16:00,04:09:00,04:09:00,05:13:00,05:14:00,07:09:00,07:13:00,10:51:00,10:54:00,12:50:00,12:51:00,14:37:00,14:46:00,17:07:00,17:14:00,18:46:00,18:48:00,20:23:00,20:32:00,24:10:00,24:14:00,26:58:00,26:59:00,29:11:00,29:11:00,30:43:06
5,5,,Jim,Fiala,male,,,,00:00:00,02:11:00,02:16:00,04:06:00,04:08:00,05:10:00,05:10:00,07:04:00,07:09:00,10:37:00,10:41:00,12:22:00,12:31:00,14:14:00,14:26:00,17:04:00,17:10:00,18:50:00,18:55:00,20:47:00,21:03:00,24:55:00,24:57:00,27:45:00,27:47:00,29:34:00,29:35:00,30:43:20
6,6,,Jonathan,Worswick,male,,,,00:00:00,02:16:00,02:18:00,04:13:00,04:14:00,05:13:00,05:17:00,06:58:00,07:03:00,10:27:00,10:37:00,12:18:00,12:18:00,13:42:00,13:56:00,16:11:00,16:19:00,18:06:00,18:08:00,19:18:00,19:31:00,23:25:00,23:36:00,27:13:00,27:23:00,29:36:00,29:39:00,30:46:16
7,7,,Scott,Mills,male,,,,00:00:00,02:18:00,02:20:00,04:22:00,04:23:00,05:28:00,05:30:00,07:31:00,07:31:00,11:11:00,11:18:00,13:05:00,13:06:00,14:45:00,14:52:00,17:06:00,17:08:00,18:38:00,18:44:00,20:09:00,20:18:00,23:59:00,24:01:00,27:15:00,27:20:00,29:39:00,29:40:00,31:11:05
8,8,,Dennis,Poolheco,male,,,,00:00:00,02:14:00,02:17:00,04:07:00,04:08:00,05:10:00,05:11:00,07:09:00,07:14:00,10:43:00,10:49:00,12:37:00,12:39:00,14:17:00,14:28:00,16:38:00,16:41:00,18:09:00,18:13:00,19:48:00,19:57:00,23:46:00,23:53:00,27:25:00,27:31:00,30:00:00,30:03:00,31:32:15
9,9,,Ken,Jensen,male,,,,00:00:00,02:18:00,02:21:00,04:19:00,04:21:00,05:20:00,05:24:00,07:25:00,07:30:00,11:07:00,11:13:00,13:05:00,13:07:00,14:40:00,14:53:00,17:25:00,17:35:00,20:04:00,20:10:00,21:40:00,21:46:00,25:17:00,25:23:00,28:13:00,28:17:00,30:31:00,30:32:00,31:42:03
10,1,,Sue,Johnson,female,,,,00:00:00,02:23:00,02:25:00,04:27:00,04:29:00,05:34:00,05:35:00,07:37:00,07:43:00,11:36:00,11:40:00,13:40:00,13:41:00,15:31:00,15:53:00,18:21:00,18:26:00,19:55:00,20:01:00,21:40:00,21:40:00,25:30:00,25:41:00,28:39:00,28:42:00,30:50:00,30:52:00,32:20:03
