Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
11,2,,Betsy,Kalmeyer,female,,,,00:00:00,02:23:00,02:26:00,04:28:00,04:31:00,05:37:00,05:40:00,07:48:00,07:51:00,11:45:00,11:51:00,13:50:00,13:54:00,15:46:00,15:50:00,18:23:00,18:31:00,20:07:00,20:09:00,21:37:00,21:50:00,25:39:00,25:56:00,29:08:00,29:14:00,31:40:00,31:42:00,33:05:50
12,10,,Randy,Isler,male,,,,00:00:00,02:14:00,02:16:00,04:09:00,04:09:00,05:15:00,05:15:00,07:11:00,07:13:00,11:00:00,11:01:00,12:59:00,13:00:00,14:46:00,15:03:00,18:03:00,18:12:00,19:44:00,19:49:00,21:18:00,21:28:00,25:34:00,25:34:00,29:16:00,29:18:00,32:07:00,32:08:00,34:01:24
13,11,,Michael,Sandlin,male,,,,00:00:00,02:19:00,02:22:00,04:19:00,04:22:00,05:23:00,05:25:00,07:25:00,07:31:00,11:48:00,12:01:00,13:58:00,14:01:00,15:57:00,16:15:00,18:35:00,18:46:00,20:29:00,20:35:00,22:19:00,22:38:00,26:36:00,26:48:00,29:59:00,30:04:00,32:25:00,32:25:00,34:06:22
14,12,,Gordon,Hardman,male,,,,00:00:00,02:32:00,02:34:00,04:44:00,04:45:00,05:50:00,05:51:00,07:59:00,08:03:00,12:12:00,12:22:00,14:31:00,14:33:00,16:33:00,16:52:00,19:28:00,19:33:00,21:21:00,21:25:00,22:45:00,22:51:00,26:51:00,27:00:00,30:12:00,30:17:00,32:50:00,32:51:00,34:19:37
15,3,,Betsy,Nye,female,,,,00:00:00,02:26:00,02:28:00,04:36:00,04:38:00,05:44:00,05:45:00,07:54:00,07:59:00,11:56:00,12:03:00,14:12:00,14:20:00,16:47:00,16:57:00,19:34:00,19:47:00,21:39:00,21:48:00,23:22:00,23:36:00,27:20:00,27:21:00,30:40:00,30:42:00,33:02:00,33:02:00,34:35:33
16,13,,Tyler,Curiel,male,,,,00:00:00,02:23:00,02:28:00,04:39:00,04:40:00,05:50:00,05:55:00,08:14:00,08:23:00,12:33:00,12:46:00,14:47:00,14:55:00,17:08:00,17:36:00,20:19:00,20:34:00,22:14:00,22:26:00,23:36:00,23:57:00,27:29:00,27:36:00,30:55:00,31:00:00,33:21:00,33:22:00,34:35:49
17,14,,Michael,Tilden,male,,,,00:00:00,02:18:00,02:20:00,04:25:00,04:26:00,05:37:00,05:38:00,07:36:00,07:43:00,11:35:00,11:42:00,13:40:00,13:41:00,15:31:00,15:54:00,18:17:00,18:27:00,20:03:00,20:09:00,21:57:00,22:17:00,26:47:00,26:57:00,30:17:00,30:20:00,33:11:00,33:12:00,34:39:13
18,15,,Roch,Horton,male,,,,00:00:00,02:19:00,02:21:00,04:19:00,04:21:00,05:23:00,05:25:00,07:26:00,07:28:00,11:32:00,11:33:00,13:38:00,13:41:00,15:36:00,15:47:00,18:22:00,18:29:00,20:24:00,20:33:00,22:15:00,22:37:00,27:20:00,27:20:00,30:42:00,30:46:00,33:13:00,33:15:00,34:41:47
19,16,,Charles,Thorn,male,,,,00:00:00,02:18:00,02:21:00,04:25:00,04:27:00,05:41:00,05:44:00,08:11:00,08:19:00,12:14:00,12:25:00,14:28:00,14:29:00,17:06:00,17:34:00,20:05:00,20:17:00,22:09:00,22:09:00,23:55:00,24:13:00,27:41:00,27:48:00,31:04:00,31:08:00,33:36:00,33:36:00,35:29:32
20,17,,Blake,Wood,male,,,,00:00:00,02:21:00,02:24:00,04:21:00,04:22:00,05:20:00,05:23:00,07:20:00,07:25:00,11:15:00,11:25:00,13:15:00,13:17:00,14:54:00,15:12:00,17:46:00,17:53:00,19:36:00,19:40:00,21:13:00,21:25:00,25:39:00,26:20:00,30:05:00,30:15:00,33:30:00,33:40:00,36:03:00
21,18,,Greg,Loomis,male,,,,00:00:00,02:25:00,02:29:00,04:36:00,04:39:00,05:47:00,05:53:00,08:23:00,08:39:00,13:16:00,13:44:00,16:00:00,16:08:00,18:49:00,19:07:00,22:15:00,22:28:00,24:18:00,24:18:00,25:38:00,25:53:00,29:13:00,29:21:00,32:22:00,32:30:00,34:55:00,35:02:00,36:19:47
22,19,,Edward,Boggess,male,,,,00:00:00,02:18:00,02:24:00,04:18:00,04:20:00,05:20:00,05:22:00,07:25:00,07:37:00,11:18:00,11:32:00,13:33:00,13:39:00,15:45:00,16:01:00,18:30:00,18:53:00,20:48:00,21:01:00,23:05:00,23:41:00,27:22:00,27:27:00,31:36:00,31:53:00,34:49:00,34:57:00,36:45:13
23,20,,Scott,Eppelman,male,,,,00:00:00,02:23:00,02:28:00,04:39:00,04:41:00,05:50:00,05:54:00,08:14:00,08:23:00,12:33:00,12:46:00,14:48:00,14:55:00,17:08:00,17:36:00,20:14:00,20:33:00,22:18:00,22:29:00,24:22:00,24:38:00,28:16:00,28:33:00,32:30:00,32:44:00,35:23:00,35:28:00,37:36:11
24,21,,Douglas,Spencer,male,,,,00:00:00,02:18:00,02:21:00,04:13:00,04:14:00,05:16:00,05:17:00,07:17:00,07:17:00,11:29:00,11:38:00,13:50:00,13:57:00,16:35:00,17:33:00,20:28:00,21:12:00,23:21:00,23:28:00,24:57:00,24:57:00,28:52:00,28:54:00,32:48:00,32:59:00,35:52:00,35:52:00,37:50:59
25,22,,Mark,Melvin,male,,,,00:00:00,02:28:00,02:31:00,04:38:00,04:41:00,05:51:00,05:55:00,08:00:00,08:07:00,11:54:00,12:10:00,14:12:00,14:16:00,16:18:00,16:45:00,19:54:00,20:04:00,21:58:00,22:05:00,23:50:00,24:04:00,28:20:00,28:34:00,32:50:00,33:01:00,36:14:00,36:17:00,38:14:35
26,23,,Dale,Petersen,male,,,,00:00:00,02:21:00,02:22:00,04:21:00,04:23:00,05:20:00,05:26:00,07:20:00,07:20:00,11:08:00,11:08:00,13:05:00,13:07:00,15:02:00,15:17:00,18:17:00,18:25:00,20:24:00,20:26:00,22:42:00,22:58:00,27:36:00,27:37:00,32:38:00,32:57:00,36:23:00,36:32:00,38:54:09
27,4,,Emily,Loman,female,,,,00:00:00,02:55:00,02:58:00,05:20:00,05:24:00,06:50:00,06:50:00,09:41:00,09:51:00,14:31:00,14:43:00,17:20:00,17:25:00,20:25:00,20:41:00,23:41:00,23:48:00,25:25:00,25:30:00,27:16:00,27:27:00,31:03:00,31:11:00,34:28:00,34:34:00,37:04:00,37:10:00,38:58:58
28,24,,Dan,Tranel,male,,,,00:00:00,02:34:00,02:42:00,04:59:00,05:03:00,06:20:00,06:28:00,08:51:00,09:09:00,13:46:00,14:19:00,16:46:00,16:59:00,19:38:00,20:13:00,23:01:00,23:14:00,24:54:00,25:02:00,26:14:00,26:40:00,30:47:00,31:13:00,34:43:00,34:54:00,37:32:00,37:41:00,39:22:56
29,25,,Allen,Czecholinski,male,,,,00:00:00,02:49:00,02:52:00,05:17:00,05:18:00,06:35:00,06:35:00,09:06:00,09:15:00,13:27:00,13:40:00,16:08:00,16:11:00,19:01:00,19:21:00,22:09:00,22:18:00,24:20:00,24:24:00,26:06:00,26:23:00,30:32:00,30:46:00,34:49:00,34:56:00,37:59:00,38:04:00,40:57:38
30,26,,Bill,Thompson,male,,,,00:00:00,02:52:00,02:58:00,05:19:00,05:23:00,06:45:00,06:47:00,09:22:00,09:36:00,14:00:00,14:32:00,16:56:00,17:00:00,19:37:00,20:26:00,23:25:00,23:52:00,25:29:00,25:33:00,27:01:00,27:27:00,31:30:00,31:42:00,35:55:00,36:03:00,38:41:00,38:50:00,41:05:16
31,27,,Mike,Ehrlich,male,,,,00:00:00,02:32:00,02:35:00,04:30:00,04:32:00,05:44:00,05:45:00,07:53:00,07:59:00,11:58:00,12:10:00,14:12:00,14:21:00,16:40:00,16:57:00,19:35:00,19:49:00,22:06:00,22:14:00,24:16:00,24:38:00,29:06:00,29:14:00,34:27:00,34:43:00,38:28:00,38:51:00,42:07:59
32,28,,Matt,Mahoney,male,,,,00:00:00,03:03:00,03:07:00,05:38:00,05:39:00,07:03:00,07:06:00,09:45:00,09:54:00,14:43:00,14:51:00,17:42:00,17:47:00,20:42:00,20:58:00,24:02:00,24:12:00,26:03:00,26:16:00,27:41:00,27:41:00,31:50:00,32:08:00,36:23:00,36:35:00,39:37:00,39:52:00,42:17:42
33,29,,Tom,Rowe,male,,,,00:00:00,02:42:00,02:48:00,05:19:00,05:21:00,06:41:00,06:46:00,09:20:00,09:31:00,14:18:00,14:48:00,17:25:00,17:31:00,20:34:00,20:54:00,23:55:00,24:01:00,25:50:00,25:56:00,27:22:00,27:35:00,31:55:00,32:07:00,36:23:00,36:35:00,39:47:00,39:52:00,42:22:59
34,30,,Joe,Prusaitis,male,,,,00:00:00,02:54:00,03:00:00,05:47:00,05:52:00,07:31:00,07:41:00,10:27:00,10:44:00,16:35:00,16:55:00,19:29:00,19:29:00,22:25:00,22:52:00,25:46:00,25:51:00,27:36:00,27:39:00,28:58:00,29:18:00,33:44:00,33:47:00,37:42:00,37:50:00,40:48:00,40:50:00,42:53:30
35,31,,Nigel,Finney,male,,,,00:00:00,02:39:00,02:44:00,05:05:00,05:09:00,06:30:00,06:33:00,09:09:00,09:15:00,14:02:00,14:15:00,16:54:00,16:57:00,20:13:00,20:32:00,23:42:00,23:53:00,25:47:00,25:53:00,27:35:00,27:48:00,32:13:00,32:26:00,36:37:00,36:43:00,39:55:00,40:15:00,42:56:00
36,32,,Mike,Price,male,,,,00:00:00,02:47:00,03:00:00,05:18:00,05:22:00,06:38:00,06:43:00,09:19:00,09:34:00,14:37:00,15:07:00,17:39:00,17:46:00,20:45:00,21:09:00,23:49:00,24:00:00,25:44:00,25:50:00,27:50:00,27:55:00,32:12:00,32:27:00,36:38:00,36:50:00,40:24:00,40:36:00,43:39:24
37,33,,Mike,Farris,male,,,,00:00:00,02:52:00,02:59:00,05:25:00,05:27:00,06:50:00,06:50:00,09:23:00,09:29:00,14:36:00,15:02:00,17:50:00,17:54:00,20:49:00,21:09:00,23:52:00,23:58:00,25:45:00,25:46:00,27:22:00,27:40:00,31:58:00,32:10:00,36:30:00,36:39:00,40:24:00,40:37:00,43:39:27
38,34,,Douglas,McInturff,male,,,,00:00:00,02:42:00,02:46:00,05:05:00,05:16:00,06:39:00,06:47:00,09:23:00,09:38:00,14:26:00,14:46:00,17:10:00,17:19:00,19:55:00,20:25:00,23:21:00,23:48:00,25:32:00,25:41:00,27:23:00,27:58:00,32:43:00,33:08:00,37:53:00,38:25:00,41:15:00,41:28:00,43:46:13
39,35,,Allen,Belshaw,male,,,,00:00:00,02:55:00,02:58:00,05:16:00,05:19:00,06:39:00,06:44:00,09:13:00,09:23:00,14:32:00,14:34:00,17:26:00,17:29:00,20:54:00,21:47:00,24:50:00,25:02:00,26:43:00,26:46:00,28:20:00,28:38:00,33:06:00,33:36:00,37:31:00,38:06:00,41:16:00,41:27:00,43:52:43
40,36,,Chuck,Kroger,male,,,,00:00:00,03:06:00,03:10:00,05:39:00,05:43:00,07:07:00,07:15:00,09:49:00,09:52:00,14:46:00,15:01:00,17:59:00,18:01:00,21:13:00,21:31:00,24:35:00,24:44:00,26:36:00,26:46:00,28:16:00,28:33:00,33:02:00,33:15:00,37:15:00,37:36:00,40:54:00,41:09:00,43:57:00
41,37,,Bud,Phillips,male,,,,00:00:00,02:46:00,02:49:00,05:12:00,05:15:00,06:33:00,06:34:00,09:13:00,09:39:00,13:50:00,13:58:00,16:32:00,16:37:00,19:34:00,20:13:00,23:23:00,23:37:00,25:30:00,25:33:00,27:23:00,27:45:00,32:10:00,32:34:00,36:46:00,37:26:00,40:51:00,41:08:00,44:16:33
42,38,,Michael,Mitchell,male,,,,00:00:00,02:29:00,02:34:00,04:44:00,04:46:00,05:55:00,06:00:00,08:24:00,08:43:00,13:13:00,13:29:00,16:31:00,17:00:00,20:25:00,20:53:00,23:47:00,24:05:00,25:41:00,25:48:00,27:17:00,27:27:00,32:06:00,32:39:00,36:42:00,37:26:00,40:51:00,41:08:00,44:16:44
43,5,,Kristina,Irvin,female,,,,00:00:00,02:51:00,02:59:00,05:21:00,05:27:00,06:45:00,06:48:00,09:25:00,09:34:00,14:11:00,14:20:00,16:48:00,16:54:00,19:48:00,20:01:00,22:54:00,23:03:00,24:52:00,25:02:00,26:52:00,27:14:00,31:36:00,31:37:00,36:34:00,36:50:00,39:53:00,41:39:00,44:22:58
44,39,,John,DeWalt,male,,,,00:00:00,02:44:00,02:50:00,05:19:00,05:20:00,06:40:00,06:43:00,09:31:00,09:43:00,14:53:00,15:10:00,18:04:00,18:09:00,20:53:00,21:11:00,24:25:00,24:38:00,26:29:00,26:34:00,28:01:00,28:18:00,32:35:00,32:43:00,36:53:00,37:37:00,41:16:00,41:39:00,44:28:21
45,40,,James,Hurley,male,,,,00:00:00,02:44:00,02:49:00,05:14:00,05:17:00,06:38:00,06:42:00,09:21:00,09:40:00,14:49:00,15:05:00,17:46:00,17:51:00,20:51:00,22:01:00,24:58:00,25:07:00,26:50:00,26:56:00,28:30:00,28:38:00,33:34:00,33:43:00,38:01:00,38:23:00,42:25:00,42:30:00,44:45:54
46,41,,Ken,DeBeer,male,,,,00:00:00,02:54:00,02:58:00,05:43:00,05:52:00,07:10:00,07:15:00,09:46:00,09:55:00,15:08:00,15:35:00,18:35:00,18:45:00,21:33:00,22:30:00,26:02:00,26:14:00,28:13:00,28:22:00,29:27:00,29:55:00,34:21:00,34:53:00,38:40:00,38:55:00,42:25:00,42:38:00,44:55:28
47,42,,Colin,Kingsford,male,,,,00:00:00,02:49:00,02:54:00,05:18:00,05:19:00,06:44:00,06:44:00,09:20:00,09:32:00,14:37:00,14:52:00,17:41:00,17:42:00,20:45:00,21:05:00,24:01:00,24:06:00,26:03:00,26:07:00,27:49:00,28:10:00,32:33:00,32:44:00,37:27:00,37:51:00,42:17:00,42:31:00,45:05:58
48,43,,Dave,Capron,male,,,,00:00:00,02:33:00,02:36:00,04:53:00,04:54:00,06:03:00,06:04:00,08:26:00,08:35:00,14:01:00,14:13:00,16:43:00,16:49:00,19:50:00,20:10:00,24:25:00,24:54:00,26:47:00,26:57:00,28:43:00,29:58:00,33:28:00,34:11:00,38:01:00,38:08:00,42:25:00,42:31:00,45:23:45
49,44,,Hans-Dieter,Weisshaar,male,,,,00:00:00,03:03:00,03:08:00,05:32:00,05:34:00,06:53:00,06:56:00,09:38:00,09:38:00,14:33:00,14:50:00,17:41:00,17:47:00,20:42:00,20:57:00,24:00:00,24:01:00,25:57:00,26:00:00,27:35:00,27:48:00,32:25:00,32:27:00,36:52:00,37:51:00,42:18:00,42:31:00,45:23:46
50,45,,Mark,Heaphy,male,,,,00:00:00,02:48:00,02:51:00,05:33:00,05:37:00,07:00:00,07:07:00,09:49:00,10:03:00,15:07:00,15:40:00,18:40:00,18:59:00,22:00:00,22:35:00,25:46:00,25:51:00,27:31:00,27:35:00,29:10:00,29:45:00,34:13:00,34:34:00,38:35:00,38:45:00,42:31:00,42:34:00,45:29:14
51,6,,Margaret,Heaphy,female,,,,00:00:00,02:48:00,02:51:00,05:33:00,05:37:00,07:00:00,07:06:00,09:49:00,10:03:00,15:07:00,15:40:00,18:40:00,18:59:00,22:00:00,22:35:00,25:46:00,25:51:00,27:32:00,27:35:00,29:10:00,29:45:00,34:13:00,34:34:00,38:35:00,38:45:00,42:31:00,42:34:00,45:29:15
52,7,,Susan,Gardner,female,,,,00:00:00,03:06:00,03:10:00,05:50:00,05:56:00,07:15:00,07:25:00,10:12:00,10:21:00,16:04:00,16:21:00,19:14:00,19:24:00,22:41:00,23:09:00,26:04:00,26:13:00,27:58:00,28:05:00,30:00:00,30:10:00,34:33:00,34:57:00,39:05:00,39:23:00,42:31:00,42:47:00,45:44:36
53,46,,Dick,Curtis,male,,,,00:00:00,02:34:00,02:36:00,05:01:00,05:04:00,06:25:00,06:32:00,09:14:00,09:30:00,14:27:00,14:46:00,17:39:00,17:47:00,21:22:00,21:51:00,25:04:00,25:15:00,26:58:00,27:04:00,28:41:00,29:00:00,33:54:00,34:13:00,38:32:00,39:04:00,43:00:00,43:10:00,46:07:12
54,47,,Rollin,Perry,male,,,,00:00:00,03:08:00,03:12:00,06:17:00,06:21:00,07:55:00,07:58:00,10:58:00,11:05:00,16:43:00,17:02:00,19:46:00,19:49:00,22:55:00,23:24:00,26:41:00,26:50:00,28:45:00,28:50:00,30:26:00,30:31:00,35:12:00,35:27:00,39:30:00,39:57:00,43:40:00,43:49:00,46:28:40
55,8,,Kathy,D'Onofrio-Woods,female,,,,00:00:00,02:27:00,02:30:00,04:40:00,04:42:00,05:58:00,06:01:00,08:36:00,08:38:00,14:08:00,14:15:00,16:56:00,16:58:00,19:34:00,19:43:00,23:14:00,23:22:00,25:13:00,25:24:00,27:01:00,27:11:00,31:55:00,32:15:00,37:13:00,38:44:00,43:20:00,43:40:00,47:11:23
56,48,,Ulrich,Kamm,male,,,,00:00:00,03:10:00,03:21:00,06:05:00,06:08:00,07:35:00,07:41:00,10:30:00,10:57:00,16:23:00,16:41:00,19:29:00,19:30:00,22:47:00,23:20:00,26:21:00,26:28:00,28:24:00,28:31:00,30:18:00,30:38:00,35:40:00,36:02:00,40:43:00,40:47:00,44:23:00,44:25:00,47:26:44
57,49,,Todd,Burgess,male,,,,00:00:00,02:44:00,02:47:00,05:22:00,05:24:00,06:45:00,06:47:00,09:44:00,09:58:00,16:12:00,16:28:00,19:25:00,19:30:00,23:14:00,23:30:00,26:07:00,26:07:00,28:18:00,28:24:00,30:40:00,30:51:00,35:42:00,35:55:00,41:05:00,41:16:00,44:46:00,44:46:00,47:41:03
58,50,,Conrad,Cole,male,,,,00:00:00,02:51:00,02:53:00,05:33:00,05:35:00,07:01:00,07:05:00,09:55:00,10:09:00,15:32:00,15:35:00,18:44:00,18:52:00,22:18:00,23:05:00,26:07:00,26:14:00,28:16:00,28:19:00,29:58:00,30:17:00,35:07:00,35:21:00,40:37:00,40:47:00,44:36:00,44:40:00,47:48:59
59,51,,Bozena,Maslanka,male,,,,00:00:00,02:46:00,02:48:00,05:39:00,05:40:00,07:13:00,07:15:00,10:08:00,10:09:00,16:03:00,16:10:00,19:09:00,19:11:00,22:04:00,22:25:00,25:37:00,25:40:00,27:54:00,27:57:00,29:35:00,30:20:00,35:24:00,35:37:00,40:39:00,40:50:00,45:20:00,45:23:00,47:49:32
60,9,,Jennifer,Roach,female,,,,00:00:00,03:11:00,03:14:00,06:00:00,06:03:00,07:34:00,07:41:00,10:45:00,10:46:00,16:27:00,16:42:00,19:57:00,20:01:00,24:17:00,24:29:00,27:23:00,27:27:00,29:30:00,29:40:00,31:27:00,31:35:00,36:39:00,36:53:00,41:49:00,42:01:00,46:20:00,46:24:00,49:15:00
61,52,,Dana,Roueche,male,,,,00:00:00,02:40:00,02:45:00,05:13:00,05:16:00,06:39:00,06:47:00,09:23:00,09:37:00,14:26:00,14:46:00,17:10:00,17:19:00,19:55:00,20:25:00,23:21:00,23:48:00,25:35:00,25:41:00,27:23:00,27:58:00,32:45:00,33:03:00,38:20:00,"","","",""
62,53,,Mike,Luther,male,,,,00:00:00,02:59:00,03:04:00,05:34:00,05:45:00,07:07:00,07:13:00,09:43:00,09:52:00,14:41:00,15:14:00,17:47:00,17:56:00,20:57:00,21:35:00,24:39:00,25:03:00,27:18:00,27:29:00,29:30:00,30:14:00,35:40:00,36:00:00,42:13:00,"","","",""
63,54,,Bill,Ramsey,male,,,,00:00:00,02:47:00,02:51:00,05:19:00,05:24:00,06:50:00,06:52:00,09:37:00,09:40:00,15:36:00,16:03:00,19:15:00,19:17:00,22:26:00,22:53:00,26:15:00,26:29:00,28:38:00,28:50:00,30:22:00,30:41:00,36:04:00,36:19:00,42:39:00,"","","",""
64,55,,Jim,Sweat,male,,,,00:00:00,03:25:00,03:29:00,06:32:00,06:35:00,08:15:00,08:17:00,11:04:00,11:15:00,17:16:00,17:40:00,21:21:00,21:30:00,24:30:00,24:48:00,27:30:00,27:33:00,30:07:00,30:12:00,31:55:00,32:03:00,37:46:00,37:55:00,44:39:00,"","","",""
65,56,,Tom,Garrison,male,,,,00:00:00,02:23:00,02:33:00,04:39:00,04:41:00,05:53:00,05:56:00,08:14:00,08:14:00,12:37:00,12:59:00,15:00:00,15:05:00,17:27:00,18:07:00,21:10:00,21:26:00,23:16:00,23:20:00,24:56:00,25:30:00,30:41:00,"","","","","",""
66,57,,Bob,Ross,male,,,,00:00:00,02:41:00,02:43:00,05:13:00,05:17:00,06:46:00,06:48:00,09:23:00,09:33:00,14:39:00,14:49:00,17:41:00,17:45:00,20:31:00,20:48:00,24:20:00,24:24:00,26:25:00,26:29:00,27:51:00,28:11:00,33:15:00,33:30:00,"","","","",""
67,58,,Tim,Cannon,male,,,,00:00:00,02:13:00,02:16:00,04:02:00,04:03:00,05:02:00,05:03:00,06:59:00,07:05:00,10:42:00,13:11:00,15:03:00,15:04:00,17:17:00,17:33:00,20:16:00,20:20:00,22:08:00,22:12:00,24:26:00,"","","","","","","",""
68,59,,Christopher,Ernst,male,,,,00:00:00,02:39:00,02:42:00,05:11:00,05:15:00,06:35:00,06:38:00,09:14:00,09:30:00,13:57:00,14:29:00,17:05:00,17:15:00,20:25:00,21:08:00,24:14:00,24:21:00,25:45:00,25:45:00,27:41:00,"","","","","","","",""
69,10,,Diane,Ridgeway,female,,,,00:00:00,02:51:00,02:53:00,05:15:00,05:17:00,06:35:00,06:35:00,09:13:00,09:21:00,14:21:00,14:25:00,17:29:00,17:37:00,21:12:00,21:36:00,24:45:00,24:55:00,27:09:00,27:20:00,29:24:00,"","","","","","","",""
70,60,,Larry,Ridgeway,male,,,,00:00:00,03:04:00,03:06:00,05:43:00,05:47:00,07:00:00,07:05:00,09:43:00,09:47:00,14:59:00,15:16:00,18:10:00,18:20:00,21:35:00,22:05:00,25:23:00,25:35:00,28:36:00,28:41:00,30:46:00,"","","","","","","",""
71,11,,Carolyn,Erdman,female,,,,00:00:00,03:06:00,03:07:00,06:00:00,06:04:00,07:34:00,07:43:00,10:27:00,10:29:00,16:22:00,16:36:00,19:31:00,19:37:00,22:35:00,22:48:00,26:20:00,26:28:00,28:45:00,28:50:00,30:42:00,31:00:00,"","","","","","",""
72,61,,Richard,Huff,male,,,,00:00:00,02:52:00,03:15:00,05:53:00,05:57:00,07:20:00,07:26:00,09:49:00,10:15:00,15:29:00,16:08:00,19:04:00,19:11:00,21:58:00,23:19:00,26:22:00,26:36:00,28:56:00,29:00:00,31:10:00,"","","","","","","",""
73,62,,John,Cappis,male,,,,00:00:00,02:59:00,03:02:00,05:53:00,06:01:00,07:35:00,07:46:00,10:51:00,11:09:00,16:23:00,16:55:00,19:47:00,19:53:00,23:08:00,23:36:00,26:38:00,26:47:00,28:45:00,28:51:00,30:47:00,31:50:00,"","","","","","",""
74,63,,Stanley,Zychowski,male,,,,00:00:00,02:54:00,03:09:00,05:32:00,05:47:00,07:14:00,07:28:00,10:21:00,10:48:00,16:34:00,17:03:00,20:25:00,20:36:00,23:56:00,24:32:00,27:49:00,28:25:00,30:22:00,30:31:00,32:10:00,"","","","","","","",""
