Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
1,1,112,Julien,Chorier,male,31,,FR,00:00:00,01:50:00,01:51:00,03:22:00,03:22:00,04:08:00,04:09:00,05:48:00,05:49:00,09:19:00,09:20:00,11:05:00,11:07:00,12:23:00,12:26:00,14:14:00,14:16:00,15:23:00,15:25:00,16:12:00,16:15:00,19:39:00,19:42:00,22:06:00,22:08:00,24:03:00,24:03:00,25:17:00
2,2,150,Dakota,Jones,male,21,CO,US,00:00:00,01:52:00,01:53:00,03:30:00,03:30:00,04:24:00,04:24:00,06:06:00,06:06:00,09:32:00,09:33:00,11:18:00,11:19:00,12:45:00,12:49:00,14:46:00,14:50:00,15:58:00,16:05:00,17:03:00,17:07:00,20:55:00,21:07:00,23:55:00,24:03:00,26:00:00,26:01:00,27:10:00
3,3,114,Nick,Clark,male,37,CO,US,00:00:00,01:53:00,01:53:00,03:33:00,03:34:00,04:24:00,04:24:00,06:08:00,06:12:00,09:38:00,09:42:00,11:13:00,11:15:00,12:40:00,12:45:00,14:45:00,14:51:00,16:03:00,16:10:00,17:15:00,17:20:00,21:09:00,21:19:00,24:05:00,24:10:00,26:16:00,26:18:00,27:43:00
4,4,158,Daniel,Levy,male,33,,FR,00:00:00,01:52:00,01:52:00,03:29:00,03:29:00,04:17:00,04:19:00,06:04:00,06:14:00,09:59:00,10:06:00,11:57:00,12:00:00,13:30:00,13:41:00,15:43:00,15:47:00,17:08:00,17:10:00,18:13:00,18:19:00,22:43:00,22:51:00,25:25:00,25:27:00,27:34:00,27:34:00,28:57:00
5,1,2,Diana,Finkel,female,40,CO,US,00:00:00,01:59:00,02:00:00,03:59:00,04:00:00,04:50:00,04:50:00,06:40:00,06:40:00,10:14:00,10:14:00,11:58:00,11:58:00,13:36:00,13:37:00,15:48:00,15:49:00,17:13:00,17:14:00,18:22:00,18:23:00,22:25:00,22:28:00,25:22:00,25:23:00,27:52:00,27:52:00,29:27:00
6,5,195,Joseph,Grant,male,28,CO,US,00:00:00,01:52:00,01:52:00,03:29:00,03:29:00,04:18:00,04:19:00,06:00:00,06:01:00,09:38:00,09:39:00,11:25:00,11:26:00,12:52:00,12:58:00,15:33:00,15:37:00,17:00:00,17:03:00,18:14:00,18:36:00,22:52:00,23:02:00,26:06:00,26:11:00,28:18:00,28:22:00,29:38:00
7,2,3,Darcy,Africa,female,36,CO,US,00:00:00,01:59:00,02:00:00,03:50:00,03:50:00,04:43:00,04:43:00,06:33:00,06:34:00,10:16:00,10:17:00,12:15:00,12:16:00,13:55:00,13:59:00,16:06:00,16:10:00,17:33:00,17:35:00,18:48:00,18:53:00,23:42:00,23:47:00,26:18:00,26:21:00,28:33:00,28:33:00,29:46:00
8,6,111,Duncan,Callahan,male,29,CO,US,00:00:00,01:55:00,01:57:00,03:40:00,03:40:00,04:31:00,04:32:00,06:23:00,06:27:00,10:23:00,10:23:00,12:51:00,12:58:00,14:37:00,14:46:00,16:57:00,17:06:00,18:31:00,18:39:00,19:51:00,19:59:00,24:14:00,24:26:00,27:14:00,27:18:00,29:29:00,29:31:00,30:57:00
9,7,4,Ted,Mahon,male,39,CO,US,00:00:00,02:13:00,02:15:00,04:11:00,04:11:00,05:10:00,05:12:00,07:09:00,07:13:00,11:18:00,11:18:00,13:23:00,13:24:00,15:07:00,15:13:00,17:37:00,17:41:00,19:05:00,19:10:00,20:32:00,20:43:00,25:05:00,25:10:00,27:54:00,27:57:00,30:25:00,30:27:00,31:55:00
10,8,132,Danny,Gnojek,male,44,CO,US,00:00:00,02:18:00,02:23:00,04:16:00,04:17:00,05:14:00,05:16:00,07:13:00,07:23:00,11:19:00,11:28:00,13:27:00,13:29:00,15:21:00,15:30:00,17:47:00,17:55:00,19:19:00,19:24:00,20:42:00,20:58:00,25:48:00,25:53:00,28:29:00,28:33:00,30:54:00,30:59:00,32:21:00
