Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
17,14,5,Scott,Mills,male,50,VA,US,00:00:00,02:56:00,03:00:00,05:07:00,05:17:00,07:54:00,08:03:00,09:58:00,10:00:00,10:41:00,10:42:00,11:55:00,12:05:00,14:37:00,14:39:00,17:48:00,17:48:00,23:28:00,23:38:00,27:03:00,27:09:00,29:00:00,29:07:00,31:50:00,31:50:00,35:14:04
18,15,162,John,Robinson,male,36,OR,US,00:00:00,02:54:00,02:55:00,04:54:00,04:57:00,07:45:00,07:54:00,10:24:00,10:27:00,11:05:00,11:07:00,12:21:00,12:27:00,14:57:00,15:00:00,17:03:00,17:15:00,23:41:00,23:57:00,28:22:00,28:25:00,30:25:00,30:30:00,32:46:00,32:49:00,35:28:12
19,4,142,Elizabeth,McGoff,female,41,MT,US,00:00:00,03:04:00,03:07:00,05:09:00,05:16:00,07:48:00,07:55:00,09:56:00,09:58:00,10:44:00,10:47:00,12:02:00,12:13:00,14:45:00,14:50:00,16:54:00,17:10:00,22:55:00,23:14:00,26:55:00,27:02:00,28:44:00,28:50:00,31:57:00,32:09:00,35:47:41
20,16,9,Randy,Isler,male,44,NM,US,00:00:00,02:52:00,02:52:00,04:45:00,04:47:00,07:15:00,07:19:00,09:19:00,09:20:00,09:54:00,09:55:00,11:04:00,11:10:00,13:41:00,13:42:00,15:36:00,15:52:00,22:48:00,23:09:00,27:08:00,27:15:00,29:05:00,29:20:00,32:07:00,32:16:00,35:51:21
21,17,16,Edward,Boggess,male,43,CO,US,00:00:00,03:02:00,03:04:00,05:11:00,05:16:00,07:48:00,07:57:00,09:48:00,09:50:00,10:33:00,10:41:00,12:04:00,12:24:00,14:46:00,14:50:00,16:57:00,17:22:00,23:28:00,24:03:00,27:45:00,27:49:00,29:31:00,29:42:00,31:58:00,32:05:00,35:55:12
22,18,165,Todd,Salzer,male,27,CO,US,00:00:00,03:09:00,03:10:00,05:21:00,05:29:00,08:13:00,08:25:00,10:51:00,10:56:00,11:45:00,11:51:00,13:12:00,13:29:00,16:05:00,16:20:00,18:31:00,19:16:00,25:39:00,26:24:00,29:12:00,29:21:00,30:49:00,31:05:00,33:15:00,33:19:00,36:36:33
23,19,19,Dan,Tranel,male,44,IA,US,00:00:00,03:07:00,03:08:00,05:37:00,05:44:00,08:38:00,08:47:00,10:59:00,10:59:00,11:43:00,11:47:00,13:10:00,13:19:00,16:06:00,16:11:00,18:47:00,19:07:00,25:08:00,25:21:00,28:57:00,29:04:00,30:44:00,30:49:00,33:20:00,33:28:00,36:45:12
24,20,14,Charlie,Thorn,male,55,NM,US,00:00:00,03:04:00,03:06:00,05:15:00,05:17:00,08:01:00,08:05:00,10:06:00,10:06:00,10:57:00,11:00:00,12:43:00,13:06:00,15:53:00,15:55:00,18:24:00,18:51:00,25:12:00,25:26:00,28:51:00,28:53:00,30:44:00,30:50:00,33:39:00,33:53:00,37:42:55
25,21,129,Jeff,Holdaway,male,43,VA,US,00:00:00,03:11:00,03:11:00,05:29:00,05:34:00,08:37:00,08:45:00,11:05:00,11:10:00,12:04:00,12:09:00,13:41:00,13:50:00,17:00:00,17:08:00,19:31:00,19:50:00,25:56:00,26:07:00,29:31:00,29:32:00,31:13:00,31:16:00,33:56:00,34:02:00,37:43:03
26,22,27,John,DeWalt,male,65,PA,US,00:00:00,03:27:00,03:28:00,05:54:00,06:03:00,09:23:00,09:34:00,12:05:00,12:12:00,13:06:00,13:10:00,14:49:00,15:07:00,18:17:00,18:30:00,21:00:00,21:37:00,27:29:00,27:43:00,30:48:00,30:53:00,33:12:00,33:20:00,35:56:00,36:14:00,39:52:35
27,23,137,Thomas,Knutson,male,51,MN,US,00:00:00,03:35:00,03:38:00,06:10:00,06:12:00,09:15:00,09:22:00,11:46:00,11:51:00,12:35:00,12:38:00,14:03:00,14:15:00,17:39:00,17:45:00,20:15:00,20:33:00,26:26:00,26:45:00,30:33:00,30:43:00,32:42:00,32:52:00,35:49:00,35:52:00,39:56:28
28,24,113,Jeff,Collins,male,48,CA,US,00:00:00,03:23:00,03:23:00,05:41:00,05:42:00,08:39:00,08:44:00,11:10:00,11:12:00,11:57:00,11:58:00,13:22:00,13:33:00,17:01:00,17:04:00,19:58:00,19:58:00,26:53:00,27:10:00,31:14:00,31:18:00,33:01:00,33:04:00,35:56:00,35:59:00,40:00:48
29,25,25,Mike,Farris,male,46,MN,US,00:00:00,03:35:00,03:36:00,06:17:00,06:23:00,09:40:00,09:48:00,12:28:00,12:34:00,13:30:00,13:36:00,15:03:00,15:22:00,19:00:00,19:15:00,21:43:00,21:58:00,28:03:00,28:11:00,31:42:00,31:45:00,33:30:00,33:36:00,36:26:00,36:35:00,40:07:58
