Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
11,1,4,Darcy,Africa,female,37,CO,US,00:00:00,02:39:00,02:40:00,04:31:00,04:31:00,07:11:00,07:12:00,09:08:00,09:09:00,09:46:00,09:46:00,11:01:00,11:06:00,13:31:00,13:32:00,15:20:00,15:20:00,19:38:00,19:43:00,22:48:00,22:50:00,24:25:00,24:28:00,26:32:00,26:36:00,29:09:00
12,11,147,John,Hart,male,46,MT,US,00:00:00,02:54:00,02:57:00,04:46:00,04:49:00,07:27:00,07:28:00,09:18:00,09:21:00,09:55:00,09:58:00,11:05:00,11:11:00,13:36:00,13:40:00,15:19:00,15:28:00,19:56:00,20:07:00,23:44:00,23:49:00,25:02:00,25:06:00,26:57:00,27:03:00,29:35:00
13,12,112,Jared,Campbell,male,33,UT,US,00:00:00,02:31:00,02:32:00,04:21:00,04:22:00,07:02:00,07:05:00,08:49:00,08:50:00,09:22:00,09:24:00,10:36:00,10:43:00,13:14:00,13:15:00,15:01:00,15:16:00,19:27:00,19:37:00,22:47:00,22:53:00,"","",26:41:00,26:46:00,29:38:00
14,13,166,Jason,Koop,male,34,CO,US,00:00:00,02:40:00,02:41:00,04:26:00,04:26:00,06:57:00,06:58:00,08:53:00,08:53:00,09:25:00,09:25:00,10:31:00,10:33:00,13:17:00,13:18:00,15:00:00,15:04:00,19:05:00,19:07:00,22:34:00,22:40:00,24:31:00,24:42:00,26:59:00,27:00:00,30:20:00
15,14,140,Dominic,Grossman,male,26,CA,US,00:00:00,02:38:00,02:40:00,04:34:00,04:36:00,07:23:00,07:23:00,09:28:00,09:30:00,10:06:00,10:08:00,11:18:00,11:28:00,14:01:00,14:04:00,15:52:00,16:07:00,21:00:00,21:16:00,24:18:00,24:21:00,25:37:00,25:46:00,28:06:00,28:06:00,30:46:00
16,15,132,Brian,Fisher,male,47,CO,US,00:00:00,02:56:00,02:59:00,04:52:00,04:54:00,07:39:00,07:48:00,09:43:00,09:46:00,10:20:00,10:27:00,11:38:00,11:52:00,14:41:00,14:52:00,16:33:00,17:01:00,21:20:00,22:28:00,25:20:00,25:32:00,26:47:00,26:57:00,28:46:00,28:54:00,31:23:00
17,16,181,Timmy,Parr,male,31,CO,US,00:00:00,02:26:00,02:26:00,04:00:00,04:01:00,06:33:00,06:35:00,08:21:00,08:22:00,08:53:00,08:53:00,09:56:00,10:00:00,12:30:00,12:35:00,14:14:00,14:21:00,19:21:00,19:37:00,23:19:00,23:34:00,25:06:00,25:17:00,27:49:00,28:00:00,31:50:00
18,17,107,Jonathan,Basham,male,35,WA,US,00:00:00,02:31:00,02:32:00,04:16:00,04:17:00,06:53:00,06:55:00,08:42:00,08:43:00,09:10:00,09:10:00,10:10:00,10:16:00,12:41:00,12:43:00,14:15:00,14:20:00,17:43:00,17:46:00,20:48:00,20:51:00,22:27:00,22:56:00,28:45:00,28:45:00,31:58:00
19,18,208,David,Wilcox,male,51,CO,US,00:00:00,03:02:00,03:04:00,04:58:00,04:59:00,07:38:00,07:45:00,09:51:00,09:53:00,10:32:00,10:36:00,11:59:00,12:09:00,14:49:00,14:53:00,16:37:00,16:41:00,21:42:00,21:47:00,25:17:00,25:22:00,26:47:00,26:52:00,29:09:00,29:15:00,32:30:00
20,2,213,Rhonda,Claridge,female,45,CO,US,00:00:00,02:52:00,02:53:00,04:54:00,04:57:00,07:51:00,07:55:00,09:54:00,09:55:00,10:35:00,10:37:00,12:00:00,12:02:00,14:59:00,15:02:00,17:01:00,17:01:00,22:07:00,22:21:00,25:54:00,25:56:00,27:22:00,27:24:00,29:35:00,29:38:00,32:43:00
21,19,159,Cory,Johnson,male,48,UT,US,00:00:00,03:05:00,03:08:00,05:15:00,05:17:00,08:21:00,08:25:00,10:40:00,10:41:00,11:22:00,11:23:00,12:44:00,12:52:00,15:49:00,15:52:00,17:48:00,17:52:00,22:29:00,22:44:00,25:51:00,25:53:00,27:13:00,27:15:00,29:34:00,29:37:00,32:48:00
22,20,149,David,Hayes,male,45,UT,US,00:00:00,03:05:00,03:08:00,05:15:00,05:19:00,08:05:00,08:15:00,10:09:00,10:13:00,11:03:00,11:05:00,12:17:00,12:35:00,15:23:00,15:32:00,17:30:00,18:12:00,22:58:00,23:19:00,26:23:00,26:28:00,27:50:00,27:55:00,30:01:00,30:07:00,32:57:00
23,21,115,David,Coblentz,male,50,NM,US,00:00:00,02:55:00,02:59:00,04:55:00,04:58:00,07:37:00,07:55:00,09:56:00,09:57:00,10:36:00,10:39:00,12:00:00,12:11:00,15:02:00,15:09:00,17:28:00,17:41:00,23:04:00,23:20:00,26:28:00,26:31:00,27:50:00,27:55:00,30:05:00,30:14:00,33:14:00
24,22,134,Clark,Fox,male,50,CO,US,00:00:00,02:44:00,02:47:00,04:36:00,04:36:00,07:15:00,07:21:00,09:24:00,09:25:00,10:09:00,10:09:00,11:30:00,11:43:00,14:22:00,14:26:00,16:28:00,16:41:00,21:35:00,21:42:00,24:52:00,24:54:00,26:22:00,26:27:00,29:12:00,29:19:00,33:20:00
25,23,7,Billy,Simpson,male,57,TN,US,00:00:00,03:15:00,03:17:00,05:22:00,05:24:00,08:31:00,08:31:00,10:50:00,10:53:00,11:33:00,11:35:00,13:06:00,13:17:00,16:19:00,16:28:00,18:27:00,18:34:00,23:34:00,23:48:00,26:57:00,26:58:00,28:05:00,28:08:00,30:14:00,30:16:00,33:34:00
26,24,11,Christian,Johnson,male,41,UT,US,00:00:00,02:48:00,02:50:00,04:47:00,04:49:00,07:39:00,07:52:00,09:57:00,10:00:00,10:38:00,10:43:00,12:02:00,12:20:00,15:23:00,15:33:00,17:36:00,18:03:00,22:59:00,23:18:00,26:33:00,26:40:00,28:06:00,28:08:00,30:30:00,30:38:00,33:44:00
27,3,103,Darla,Askew,female,40,OR,US,00:00:00,03:10:00,03:12:00,05:21:00,05:22:00,08:23:00,08:28:00,10:32:00,10:34:00,11:17:00,11:19:00,12:33:00,12:39:00,15:32:00,15:34:00,17:39:00,17:47:00,23:25:00,23:34:00,27:02:00,27:06:00,28:32:00,28:39:00,30:56:00,31:02:00,33:52:00
28,25,6,Brett,Gosney,male,53,CO,US,00:00:00,02:48:00,02:50:00,04:56:00,04:59:00,08:00:00,08:07:00,10:03:00,10:07:00,10:46:00,10:49:00,12:00:00,12:05:00,14:51:00,14:55:00,16:50:00,17:03:00,22:27:00,22:40:00,26:14:00,26:20:00,27:50:00,27:55:00,30:30:00,30:40:00,34:03:00
29,26,143,Corey,Hanson,male,36,CO,US,00:00:00,02:31:00,02:34:00,04:26:00,04:27:00,07:25:00,07:33:00,09:46:00,09:50:00,10:35:00,10:38:00,11:59:00,12:14:00,15:08:00,15:22:00,17:56:00,18:18:00,24:06:00,24:27:00,27:34:00,27:41:00,29:13:00,29:23:00,31:46:00,31:55:00,35:11:00
30,27,193,Tom,Remkes,male,51,UT,US,00:00:00,03:05:00,03:08:00,05:17:00,05:20:00,09:03:00,09:13:00,11:21:00,11:24:00,12:04:00,12:06:00,13:31:00,13:42:00,16:32:00,16:36:00,18:41:00,18:50:00,23:55:00,24:05:00,27:41:00,27:48:00,29:30:00,29:39:00,31:55:00,32:02:00,35:12:00
31,28,123,Ricky,Denesik,male,53,CO,US,00:00:00,03:04:00,03:05:00,05:16:00,05:17:00,08:25:00,08:29:00,10:35:00,10:36:00,11:19:00,11:21:00,12:43:00,12:50:00,16:04:00,16:08:00,18:25:00,18:32:00,24:11:00,24:21:00,27:47:00,27:59:00,29:38:00,29:43:00,31:58:00,32:03:00,35:31:00
32,29,153,Shinsuke,Isomura,male,,,,00:00:00,03:37:00,03:39:00,05:57:00,06:01:00,09:06:00,09:11:00,11:25:00,11:27:00,11:59:00,12:01:00,13:14:00,13:26:00,16:31:00,16:35:00,18:29:00,18:45:00,24:07:00,25:05:00,28:55:00,29:14:00,30:58:00,31:03:00,32:59:00,"",35:34:00
33,30,141,Drew,Gunn,male,38,CO,US,00:00:00,03:09:00,03:12:00,05:11:00,05:13:00,08:22:00,08:31:00,10:31:00,10:33:00,11:17:00,11:20:00,12:50:00,13:02:00,16:01:00,16:07:00,18:25:00,18:40:00,24:26:00,24:38:00,28:04:00,28:10:00,29:35:00,29:39:00,31:57:00,31:57:00,35:34:00
34,31,23,Tim,Long,male,45,UT,US,00:00:00,02:44:00,02:47:00,04:43:00,04:44:00,07:26:00,07:26:00,09:56:00,10:00:00,10:41:00,10:46:00,12:02:00,12:11:00,15:08:00,15:22:00,17:43:00,18:21:00,24:02:00,24:23:00,27:48:00,27:54:00,29:33:00,29:39:00,32:12:00,32:17:00,35:49:00
35,32,203,Jon,Teisher,male,37,CO,US,00:00:00,02:56:00,02:58:00,05:02:00,05:06:00,08:07:00,08:07:00,10:24:00,10:28:00,11:10:00,11:11:00,12:32:00,12:35:00,15:41:00,15:49:00,18:22:00,18:38:00,25:12:00,25:25:00,28:42:00,28:50:00,30:24:00,30:45:00,33:18:00,33:18:00,36:06:00
36,4,174,Kristin,Moehl,female,35,WA,US,00:00:00,02:51:00,02:53:00,04:54:00,04:56:00,07:48:00,07:48:00,09:57:00,10:00:00,10:41:00,10:45:00,12:02:00,12:02:00,14:53:00,14:56:00,16:55:00,17:03:00,23:06:00,24:18:00,27:46:00,27:47:00,29:20:00,29:28:00,32:21:00,32:25:00,36:36:00
37,33,179,Mark,Oveson,male,45,CO,US,00:00:00,03:09:00,03:12:00,05:22:00,05:25:00,08:41:00,08:53:00,11:05:00,11:09:00,11:56:00,11:58:00,13:23:00,13:40:00,16:48:00,16:57:00,19:14:00,19:40:00,25:33:00,26:01:00,29:11:00,29:13:00,30:48:00,30:56:00,33:18:00,33:35:00,36:46:00
38,34,146,Jim,Harris,male,48,OH,US,00:00:00,03:40:00,03:42:00,06:14:00,06:23:00,09:54:00,10:01:00,12:24:00,12:27:00,13:11:00,13:14:00,14:46:00,15:09:00,18:17:00,18:22:00,20:33:00,20:45:00,25:51:00,26:04:00,29:12:00,29:16:00,30:48:00,30:58:00,33:30:00,33:36:00,37:00:00
39,35,104,Cam,Baker,male,35,PA,US,00:00:00,03:40:00,03:42:00,06:02:00,06:05:00,09:26:00,09:32:00,11:45:00,11:51:00,12:37:00,12:40:00,14:29:00,14:51:00,17:59:00,18:08:00,20:31:00,20:44:00,25:51:00,26:04:00,29:11:00,29:16:00,30:49:00,30:58:00,33:31:00,33:36:00,37:00:00
40,36,9,Chris,Gerber,male,39,CO,US,00:00:00,03:10:00,03:11:00,05:31:00,05:37:00,09:28:00,09:40:00,11:53:00,11:57:00,12:36:00,12:39:00,14:02:00,14:15:00,17:30:00,17:35:00,19:39:00,19:52:00,25:02:00,25:21:00,28:30:00,28:33:00,30:13:00,30:43:00,33:33:00,33:35:00,37:02:00
41,37,210,Loren,Wohletz,male,27,NM,US,00:00:00,03:21:00,03:25:00,05:45:00,05:54:00,09:15:00,09:28:00,11:43:00,11:47:00,12:32:00,12:34:00,14:07:00,14:21:00,17:38:00,17:48:00,20:06:00,20:31:00,25:51:00,26:20:00,29:38:00,29:42:00,31:08:00,31:14:00,33:44:00,33:48:00,37:02:00
42,38,15,Todd,Salzer,male,38,CO,US,00:00:00,03:01:00,03:04:00,05:11:00,05:15:00,08:23:00,08:32:00,10:41:00,10:45:00,11:25:00,11:28:00,12:53:00,13:09:00,16:19:00,16:28:00,18:39:00,19:01:00,24:51:00,25:31:00,28:51:00,29:01:00,30:40:00,30:53:00,33:34:00,33:52:00,37:05:00
43,39,128,Ken,Farley,male,48,CA,US,00:00:00,03:04:00,03:06:00,05:18:00,05:21:00,08:49:00,08:58:00,11:35:00,11:39:00,12:22:00,12:23:00,13:50:00,14:05:00,17:28:00,17:32:00,19:53:00,20:10:00,25:26:00,25:40:00,29:08:00,29:13:00,30:53:00,31:01:00,33:46:00,33:51:00,37:29:00
44,40,122,Aaron,Denberg,male,46,WY,US,00:00:00,03:02:00,03:02:00,05:12:00,05:13:00,08:21:00,08:28:00,10:34:00,10:35:00,11:16:00,11:17:00,12:44:00,12:55:00,16:11:00,16:20:00,18:34:00,19:23:00,25:04:00,25:27:00,29:30:00,29:48:00,31:27:00,31:32:00,34:38:00,34:40:00,37:55:00
45,5,130,Leah,Fein,female,32,CO,US,00:00:00,03:21:00,03:24:00,05:45:00,05:49:00,09:12:00,09:17:00,11:41:00,11:47:00,12:35:00,12:37:00,14:13:00,14:29:00,17:48:00,17:55:00,20:14:00,20:28:00,26:14:00,26:34:00,30:07:00,30:10:00,31:48:00,31:54:00,34:36:00,34:41:00,38:09:00
46,41,126,Stuart,Erskine,male,47,,US,00:00:00,03:20:00,03:23:00,05:36:00,05:39:00,09:06:00,09:14:00,11:26:00,11:29:00,12:15:00,12:17:00,13:46:00,13:57:00,17:08:00,17:14:00,19:47:00,20:11:00,25:23:00,25:36:00,29:08:00,29:16:00,30:57:00,31:04:00,33:50:00,34:05:00,38:10:00
47,42,8,Scott,Eppelman,male,46,TX,US,00:00:00,03:17:00,03:20:00,05:31:00,05:35:00,08:57:00,09:04:00,11:26:00,11:29:00,12:15:00,12:20:00,13:56:00,14:07:00,17:25:00,17:35:00,19:53:00,20:12:00,25:47:00,26:00:00,29:26:00,29:36:00,31:10:00,31:17:00,34:05:00,34:15:00,38:16:00
48,43,16,Scott,Olmer,male,41,CO,US,00:00:00,03:13:00,03:14:00,05:32:00,05:33:00,09:05:00,09:11:00,11:44:00,11:46:00,12:28:00,12:32:00,14:05:00,14:12:00,17:34:00,17:39:00,19:59:00,20:10:00,25:55:00,26:16:00,30:03:00,30:08:00,31:55:00,32:01:00,34:34:00,34:40:00,38:18:00
49,44,118,William,Cook,male,44,CA,US,00:00:00,03:10:00,03:15:00,05:27:00,05:34:00,08:57:00,09:11:00,11:25:00,11:32:00,12:15:00,12:19:00,13:52:00,14:09:00,17:25:00,17:36:00,19:51:00,20:12:00,25:46:00,26:07:00,29:28:00,29:37:00,31:07:00,31:22:00,34:05:00,34:41:00,38:22:00
50,45,20,Kirk,Apt,male,50,CO,US,00:00:00,03:14:00,03:18:00,05:24:00,05:31:00,08:46:00,08:55:00,10:59:00,11:04:00,11:57:00,12:06:00,13:35:00,13:57:00,17:08:00,17:18:00,19:25:00,19:43:00,25:28:00,25:53:00,29:23:00,29:37:00,31:21:00,31:37:00,34:31:00,34:44:00,38:24:00
51,46,12,Blake,Wood,male,54,NM,US,00:00:00,03:29:00,03:32:00,05:56:00,06:02:00,09:22:00,09:31:00,11:44:00,11:46:00,12:37:00,12:39:00,14:02:00,14:12:00,17:14:00,17:19:00,19:37:00,19:52:00,25:26:00,25:56:00,29:31:00,29:40:00,31:21:00,31:33:00,34:45:00,34:45:00,38:49:00
52,47,14,Julian,Jamison,male,39,MA,US,00:00:00,03:21:00,03:24:00,05:31:00,05:40:00,09:27:00,09:48:00,12:25:00,12:33:00,13:16:00,13:19:00,15:05:00,15:32:00,19:50:00,20:34:00,23:07:00,23:44:00,28:20:00,28:41:00,31:57:00,32:02:00,33:31:00,33:43:00,35:50:00,36:00:00,38:49:00
53,48,117,John,Constan,male,45,CO,US,00:00:00,03:27:00,03:33:00,05:45:00,05:52:00,09:20:00,09:39:00,12:04:00,12:10:00,12:59:00,13:06:00,14:48:00,15:03:00,18:37:00,18:47:00,21:12:00,21:36:00,27:09:00,27:26:00,30:53:00,30:56:00,32:37:00,32:41:00,35:31:00,35:42:00,38:53:00
54,6,138,Susan,Gebhart,female,57,CO,US,00:00:00,03:23:00,03:25:00,05:53:00,05:58:00,09:11:00,09:21:00,11:37:00,11:43:00,12:30:00,12:35:00,14:05:00,14:35:00,17:53:00,18:04:00,20:22:00,20:39:00,26:32:00,26:55:00,30:26:00,30:33:00,32:09:00,32:19:00,35:12:00,35:23:00,39:21:00
55,7,131,Megan,Finnesy,female,44,CO,US,00:00:00,03:29:00,03:32:00,05:37:00,05:41:00,09:13:00,09:26:00,11:44:00,11:47:00,12:30:00,12:32:00,14:14:00,14:39:00,18:31:00,18:42:00,21:30:00,22:18:00,27:45:00,28:15:00,31:25:00,31:25:00,32:58:00,33:05:00,35:59:00,36:03:00,39:24:00
56,49,178,Brian,Murray,male,39,NM,US,00:00:00,03:21:00,03:24:00,05:40:00,05:47:00,09:21:00,09:32:00,11:50:00,11:52:00,12:38:00,12:41:00,14:29:00,14:52:00,18:11:00,18:15:00,20:33:00,20:46:00,26:33:00,26:52:00,30:26:00,30:33:00,32:11:00,32:19:00,35:17:00,35:37:00,40:02:00
57,50,158,Bryan,Johnson,male,37,MT,US,00:00:00,02:56:00,02:57:00,05:07:00,05:08:00,08:35:00,08:40:00,11:03:00,11:04:00,11:56:00,11:57:00,13:29:00,13:40:00,16:48:00,16:56:00,19:36:00,20:08:00,26:05:00,26:29:00,30:09:00,30:12:00,31:57:00,32:06:00,35:10:00,35:20:00,40:02:00
58,51,10,Mike,Ehrlich,male,49,CO,US,00:00:00,03:03:00,03:04:00,05:02:00,05:04:00,07:57:00,08:08:00,10:18:00,10:21:00,11:01:00,11:05:00,12:43:00,12:49:00,16:40:00,16:48:00,19:09:00,19:41:00,25:48:00,26:03:00,30:13:00,30:26:00,32:23:00,32:37:00,35:38:00,35:40:00,40:17:00
59,52,182,Eric,Payne,male,31,CO,US,00:00:00,03:09:00,03:12:00,05:24:00,05:26:00,08:48:00,09:03:00,11:13:00,11:18:00,12:01:00,12:04:00,13:34:00,13:48:00,16:55:00,17:07:00,19:29:00,19:57:00,25:17:00,25:38:00,29:26:00,29:33:00,31:21:00,31:26:00,34:58:00,35:21:00,40:23:00
60,8,161,Betsy,Kalmeyer,female,51,CO,US,00:00:00,03:03:00,03:10:00,05:21:00,05:25:00,08:33:00,08:54:00,11:08:00,11:11:00,11:56:00,12:03:00,13:31:00,14:01:00,17:53:00,18:04:00,20:44:00,21:25:00,27:57:00,28:22:00,31:47:00,31:55:00,33:32:00,33:56:00,36:20:00,36:30:00,40:26:00
61,53,209,David,Williams,male,59,CA,US,00:00:00,03:29:00,03:34:00,05:50:00,05:53:00,09:34:00,09:34:00,12:02:00,12:07:00,12:49:00,12:52:00,14:26:00,14:39:00,18:15:00,18:25:00,20:47:00,21:12:00,26:47:00,26:59:00,30:45:00,30:53:00,32:42:00,32:49:00,36:00:00,36:07:00,40:44:00
62,54,144,Harry,Harcrow,male,45,CO,US,00:00:00,02:44:00,02:46:00,04:35:00,04:37:00,07:14:00,07:20:00,09:16:00,09:17:00,09:54:00,09:58:00,11:11:00,11:21:00,13:54:00,14:03:00,15:54:00,24:27:00,28:43:00,29:06:00,32:18:00,32:30:00,34:00:00,34:14:00,36:49:00,37:11:00,41:02:00
63,55,167,Larry,Kundrik,male,56,,US,00:00:00,03:29:00,03:31:00,06:07:00,06:12:00,10:09:00,10:21:00,12:56:00,13:01:00,14:01:00,14:09:00,15:50:00,16:13:00,19:21:00,19:25:00,21:55:00,22:13:00,27:45:00,28:11:00,31:41:00,31:44:00,33:27:00,33:32:00,36:29:00,37:01:00,41:03:00
64,56,101,Tim,Adams,male,36,,,00:00:00,03:04:00,03:08:00,05:28:00,05:36:00,09:08:00,09:20:00,11:42:00,11:48:00,12:35:00,12:37:00,14:14:00,14:33:00,18:00:00,18:06:00,20:41:00,21:01:00,26:55:00,27:14:00,31:18:00,31:34:00,33:23:00,33:31:00,36:40:00,36:59:00,41:53:00
65,57,160,Lance,Johnson,male,46,NM,US,00:00:00,03:20:00,03:22:00,05:41:00,05:54:00,09:32:00,09:47:00,12:17:00,12:22:00,13:11:00,13:17:00,15:05:00,15:26:00,19:07:00,19:21:00,21:59:00,22:23:00,28:39:00,29:06:00,32:46:00,32:54:00,34:27:00,34:44:00,37:32:00,37:57:00,42:20:00
66,58,170,Dmitry,Lysenko,male,37,,,00:00:00,03:05:00,03:09:00,05:39:00,05:49:00,09:15:00,09:41:00,12:00:00,12:04:00,12:55:00,13:02:00,14:46:00,15:13:00,18:40:00,18:52:00,21:16:00,21:50:00,27:27:00,28:01:00,31:41:00,32:00:00,33:41:00,34:14:00,37:11:00,37:32:00,42:33:00
67,59,27,Ken,Gordon,male,47,NM,US,00:00:00,03:21:00,03:24:00,05:40:00,05:48:00,09:15:00,09:29:00,11:58:00,12:04:00,12:49:00,12:52:00,14:26:00,14:44:00,18:16:00,18:31:00,21:04:00,21:42:00,27:30:00,28:03:00,31:41:00,32:07:00,34:05:00,34:27:00,37:17:00,37:47:00,42:34:00
68,60,25,Ken,Ward,male,55,OR,US,00:00:00,03:23:00,03:26:00,05:49:00,05:56:00,09:36:00,09:55:00,12:27:00,12:33:00,13:19:00,13:24:00,15:10:00,15:40:00,19:08:00,19:20:00,22:11:00,22:42:00,28:42:00,29:06:00,33:04:00,33:07:00,35:04:00,35:14:00,38:00:00,38:25:00,42:40:00
69,61,13,Randy,Isler,male,55,NM,US,00:00:00,03:10:00,03:12:00,05:28:00,05:30:00,08:58:00,09:05:00,11:33:00,11:37:00,12:26:00,12:32:00,14:35:00,14:35:00,17:59:00,18:11:00,20:47:00,21:23:00,27:39:00,27:56:00,32:06:00,32:12:00,34:19:00,34:36:00,37:52:00,38:11:00,43:01:00
70,62,187,Chad,Piala,male,36,CO,US,00:00:00,03:10:00,03:13:00,05:27:00,05:30:00,08:57:00,09:06:00,11:33:00,11:36:00,12:26:00,12:30:00,14:08:00,14:32:00,17:59:00,18:11:00,20:47:00,21:20:00,27:39:00,27:58:00,32:06:00,32:12:00,34:19:00,34:36:00,37:45:00,38:11:00,43:01:00
71,63,111,Adam,Byerly,male,33,CO,US,00:00:00,03:29:00,03:33:00,05:54:00,06:00:00,09:27:00,09:39:00,12:25:00,12:31:00,13:23:00,13:26:00,15:01:00,15:18:00,19:17:00,19:21:00,22:06:00,22:23:00,28:22:00,28:39:00,32:51:00,32:59:00,34:52:00,35:00:00,37:53:00,38:09:00,43:04:00
72,9,109,Gretchen,Brugman,female,39,CA,US,00:00:00,03:30:00,03:32:00,06:09:00,06:13:00,09:55:00,10:34:00,12:39:00,12:42:00,13:40:00,13:43:00,15:37:00,15:58:00,19:35:00,19:43:00,22:29:00,22:43:00,28:55:00,28:59:00,33:00:00,33:05:00,34:55:00,35:02:00,38:32:00,38:32:00,43:10:00
73,64,119,Bob,Crowley,male,55,CA,US,00:00:00,04:01:00,04:04:00,06:51:00,06:57:00,10:44:00,10:51:00,13:18:00,13:19:00,14:21:00,14:24:00,16:24:00,16:28:00,19:58:00,20:06:00,22:34:00,22:41:00,28:16:00,28:29:00,32:10:00,32:16:00,34:18:00,34:36:00,37:37:00,37:54:00,43:13:00
74,65,110,Levi,Burford,male,31,NH,US,00:00:00,03:23:00,03:26:00,05:37:00,05:40:00,09:03:00,09:14:00,11:48:00,11:52:00,12:40:00,12:45:00,14:27:00,14:50:00,18:37:00,19:09:00,22:06:00,22:52:00,29:08:00,29:20:00,33:07:00,33:28:00,35:20:00,35:39:00,38:42:00,39:08:00,43:13:00
75,66,21,Chris,Twiggs,male,42,FL,US,00:00:00,03:21:00,03:23:00,06:17:00,06:18:00,10:06:00,10:16:00,13:08:00,13:08:00,14:11:00,14:12:00,16:10:00,16:28:00,19:46:00,19:49:00,22:20:00,22:31:00,28:20:00,28:28:00,32:33:00,32:35:00,34:34:00,34:44:00,37:49:00,38:15:00,43:19:00
