Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
1,1,164,Hal,Koerner,male,36,OR,US,00:00:00,02:24:00,02:24:00,04:00:00,04:01:00,06:18:00,06:19:00,08:01:00,08:02:00,08:34:00,08:34:00,09:29:00,09:31:00,11:41:00,11:42:00,13:10:00,13:14:00,16:27:00,16:30:00,19:06:00,19:08:00,20:26:00,20:28:00,22:22:00,22:23:00,24:50:00
2,2,3,Joseph,Grant,male,29,,US,00:00:00,02:24:00,02:24:00,04:00:00,04:01:00,06:18:00,06:18:00,07:59:00,08:00:00,08:33:00,08:34:00,09:37:00,09:40:00,11:58:00,11:59:00,13:34:00,13:38:00,17:14:00,17:17:00,19:58:00,20:00:00,21:11:00,21:12:00,22:53:00,22:54:00,25:06:00
3,3,1,Dakota,Jones,male,22,CO,US,00:00:00,02:25:00,02:25:00,04:00:00,04:01:00,06:17:00,06:19:00,08:03:00,08:03:00,08:30:00,08:31:00,09:32:00,09:35:00,11:57:00,11:58:00,13:22:00,13:27:00,16:25:00,16:42:00,19:42:00,19:44:00,21:06:00,21:08:00,23:18:00,23:23:00,25:45:00
4,4,183,Nick,Pedatella,male,27,CO,US,00:00:00,02:26:00,02:27:00,04:03:00,04:04:00,06:28:00,06:31:00,08:19:00,08:20:00,08:56:00,08:56:00,10:02:00,10:06:00,12:36:00,12:38:00,14:15:00,14:20:00,18:42:00,18:49:00,21:54:00,21:56:00,23:22:00,23:23:00,25:27:00,25:28:00,28:03:00
5,5,5,Ted,Mahon,male,40,CO,US,00:00:00,02:48:00,02:50:00,04:44:00,04:45:00,07:25:00,07:29:00,09:18:00,09:20:00,09:54:00,09:54:00,11:04:00,11:09:00,13:35:00,13:36:00,15:16:00,15:17:00,19:16:00,19:21:00,22:13:00,22:14:00,23:44:00,23:46:00,25:46:00,25:48:00,28:20:00
6,6,155,Scott,Jaime,male,43,CO,US,00:00:00,02:27:00,02:28:00,04:00:00,04:01:00,06:56:00,06:57:00,08:16:00,08:16:00,08:48:00,08:48:00,09:57:00,10:01:00,12:56:00,12:58:00,14:36:00,14:44:00,19:05:00,19:13:00,22:23:00,22:31:00,23:56:00,24:02:00,25:56:00,25:58:00,28:37:00
7,7,173,Karl,Meltzer,male,45,UT,US,00:00:00,02:25:00,02:25:00,04:03:00,04:04:00,06:42:00,06:45:00,08:20:00,08:20:00,08:49:00,08:50:00,09:56:00,09:57:00,12:13:00,12:15:00,13:53:00,13:53:00,17:44:00,17:52:00,21:13:00,21:17:00,22:52:00,22:56:00,25:22:00,25:30:00,28:43:00
8,8,207,Adam,Wilcox,male,31,NH,US,00:00:00,02:38:00,02:40:00,04:25:00,04:25:00,06:59:00,07:01:00,08:50:00,08:50:00,09:23:00,09:24:00,10:33:00,10:37:00,13:08:00,13:12:00,14:52:00,14:54:00,19:08:00,19:10:00,22:14:00,22:15:00,23:50:00,23:50:00,25:55:00,25:56:00,28:55:00
9,9,188,Jason,Poole,male,41,CO,US,00:00:00,02:44:00,02:45:00,04:32:00,04:32:00,07:12:00,07:15:00,09:08:00,09:09:00,09:46:00,09:46:00,10:56:00,11:00:00,13:31:00,13:33:00,15:17:00,15:23:00,19:47:00,19:52:00,23:12:00,23:15:00,24:34:00,24:35:00,26:35:00,26:35:00,28:57:00
10,10,200,Patrick,Stewart,male,27,CO,US,00:00:00,02:44:00,02:46:00,04:30:00,04:30:00,07:02:00,07:05:00,08:54:00,08:55:00,09:28:00,09:28:00,10:33:00,10:43:00,13:03:00,13:06:00,14:37:00,14:44:00,18:53:00,19:00:00,22:01:00,22:03:00,23:37:00,23:41:00,26:09:00,26:38:00,29:04:00
