Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
1,1,165,Kyle,Skaggs,male,23,NM,US,00:00:00,02:19:00,02:19:00,03:43:00,03:45:00,05:36:00,05:37:00,07:05:00,07:05:00,07:30:00,07:31:00,08:30:00,08:32:00,10:36:00,10:37:00,11:56:00,11:58:00,15:14:00,15:17:00,17:49:00,17:49:00,18:58:00,18:59:00,20:50:00,20:52:00,23:23:30
2,2,6,Scott,Jaime,male,39,CO,US,00:00:00,02:40:00,02:41:00,04:27:00,04:29:00,06:50:00,06:52:00,08:50:00,08:53:00,09:25:00,09:26:00,10:40:00,10:51:00,13:41:00,13:49:00,15:23:00,15:35:00,20:30:00,20:44:00,23:54:00,23:58:00,25:22:00,25:28:00,27:22:00,27:24:00,29:50:53
3,3,5,Ricky,Denesik,male,49,CO,US,00:00:00,02:42:00,02:42:00,04:26:00,04:27:00,06:56:00,06:58:00,09:01:00,09:01:00,09:35:00,09:35:00,10:55:00,11:00:00,13:59:00,14:00:00,15:31:00,15:35:00,19:35:00,19:42:00,23:34:00,23:36:00,24:58:00,25:02:00,27:08:00,27:13:00,30:21:23
4,4,1,Jared,Campbell,male,29,UT,US,00:00:00,02:33:00,02:34:00,04:22:00,04:24:00,06:46:00,06:49:00,08:40:00,08:41:00,09:12:00,09:13:00,10:25:00,10:32:00,13:03:00,13:06:00,14:58:00,15:05:00,19:59:00,20:21:00,23:53:00,23:57:00,25:22:00,25:28:00,27:40:00,27:44:00,30:55:24
5,5,182,Nick,Coury,male,21,AZ,US,00:00:00,02:57:00,02:58:00,04:53:00,04:59:00,07:31:00,07:36:00,09:43:00,09:45:00,10:22:00,10:25:00,11:37:00,11:49:00,14:42:00,14:45:00,16:56:00,17:06:00,22:16:00,22:29:00,25:50:00,25:53:00,27:02:00,27:03:00,28:47:00,28:52:00,31:07:10
6,1,120,Diana,Finkel,female,37,CO,US,00:00:00,02:52:00,02:54:00,04:47:00,04:47:00,07:17:00,07:19:00,09:27:00,09:27:00,10:00:00,10:00:00,11:14:00,11:17:00,14:05:00,14:06:00,16:14:00,16:17:00,20:43:00,20:47:00,24:11:00,24:11:00,25:38:00,25:39:00,28:00:00,28:01:00,31:09:40
7,6,12,David,Coblentz,male,46,NM,US,00:00:00,03:02:00,03:05:00,05:09:00,05:12:00,07:50:00,07:54:00,10:02:00,10:03:00,10:40:00,10:42:00,11:57:00,12:08:00,14:57:00,15:01:00,17:02:00,17:15:00,22:30:00,22:44:00,26:01:00,26:04:00,27:33:00,27:37:00,29:48:00,29:53:00,32:48:31
8,7,159,Tom,Remkes,male,47,UT,US,00:00:00,03:15:00,03:18:00,05:20:00,05:27:00,08:12:00,08:21:00,10:38:00,10:40:00,11:21:00,11:23:00,12:45:00,12:58:00,15:52:00,15:57:00,18:12:00,18:21:00,23:15:00,23:29:00,26:37:00,26:40:00,28:07:00,28:10:00,30:16:00,30:20:00,32:56:00
9,2,16,Betsy,Kalmeyer,female,47,CO,US,00:00:00,03:02:00,03:07:00,05:09:00,05:15:00,07:49:00,08:02:00,10:02:00,10:03:00,10:39:00,10:42:00,11:58:00,12:11:00,15:00:00,15:07:00,16:57:00,17:25:00,22:54:00,23:21:00,26:38:00,26:41:00,28:05:00,28:14:00,30:30:00,30:34:00,33:25:58
10,8,178,Robert,Youngren,male,34,AL,US,00:00:00,03:05:00,03:07:00,05:02:00,05:18:00,08:03:00,08:09:00,10:30:00,10:35:00,11:21:00,11:24:00,12:44:00,12:55:00,16:14:00,16:37:00,18:36:00,18:49:00,24:00:00,24:23:00,27:31:00,27:37:00,28:56:00,29:00:00,30:58:00,31:02:00,33:36:13
11,9,111,Mike,Burke,male,58,OR,US,00:00:00,03:05:00,03:07:00,05:07:00,05:11:00,07:38:00,07:42:00,09:50:00,09:55:00,10:32:00,10:34:00,11:48:00,11:56:00,14:47:00,14:55:00,17:16:00,17:24:00,22:26:00,22:35:00,26:15:00,26:22:00,27:56:00,27:59:00,30:40:00,30:43:00,33:51:31
12,10,11,Roch,Horton,male,51,UT,US,00:00:00,02:35:00,02:37:00,04:58:00,05:00:00,07:46:00,07:51:00,10:03:00,10:05:00,10:43:00,10:43:00,12:07:00,12:14:00,15:14:00,15:16:00,17:19:00,17:19:00,23:05:00,23:16:00,26:50:00,26:53:00,28:32:00,28:37:00,31:23:00,31:23:00,34:20:38
13,11,180,Brian,Fisher,male,43,CO,US,00:00:00,02:54:00,02:57:00,04:53:00,04:56:00,07:33:00,07:41:00,09:44:00,09:49:00,10:27:00,10:30:00,11:50:00,12:13:00,14:57:00,15:08:00,17:16:00,17:58:00,24:06:00,24:34:00,28:00:00,28:06:00,29:35:00,29:44:00,31:50:00,31:58:00,34:40:16
14,12,7,Bruce,Grant,male,43,,US,00:00:00,03:00:00,03:02:00,04:58:00,05:00:00,07:46:00,07:51:00,10:10:00,10:14:00,10:50:00,10:53:00,12:18:00,12:26:00,15:26:00,15:31:00,18:47:00,19:04:00,24:20:00,24:27:00,27:52:00,27:56:00,29:14:00,29:18:00,31:46:00,31:50:00,35:03:05
15,13,3,Glenn,Mackie,male,46,TX,US,00:00:00,02:52:00,02:53:00,04:44:00,04:45:00,07:13:00,07:14:00,09:18:00,09:18:00,09:53:00,09:53:00,11:03:00,11:08:00,13:35:00,13:36:00,15:15:00,15:18:00,20:10:00,20:14:00,25:32:00,25:33:00,27:10:00,27:12:00,30:15:00,30:18:00,35:12:58
16,14,145,Scott,Mason,male,46,UT,US,00:00:00,03:29:00,03:31:00,05:49:00,05:59:00,08:58:00,09:12:00,11:26:00,11:28:00,12:12:00,12:16:00,13:45:00,14:08:00,17:29:00,17:34:00,19:45:00,20:37:00,25:29:00,25:41:00,28:47:00,28:53:00,30:12:00,30:15:00,32:26:00,32:28:00,35:16:29
17,15,169,Neal,Taylor,male,46,CO,US,00:00:00,03:04:00,03:06:00,05:07:00,05:09:00,07:50:00,07:55:00,10:02:00,10:02:00,10:40:00,10:40:00,12:06:00,12:24:00,15:17:00,15:21:00,19:03:00,19:14:00,24:59:00,25:09:00,28:01:00,28:02:00,29:25:00,29:26:00,31:46:00,31:50:00,35:18:57
18,16,106,John,Beard,male,44,TX,US,00:00:00,02:52:00,02:53:00,04:53:00,04:56:00,08:06:00,08:12:00,10:37:00,10:39:00,11:23:00,11:25:00,12:44:00,"",16:33:00,16:34:00,18:42:00,18:58:00,25:12:00,25:20:00,28:49:00,28:53:00,30:17:00,30:17:00,32:39:00,32:45:00,35:22:53
19,17,31,Cory,Johnson,male,44,UT,US,00:00:00,03:22:00,03:24:00,05:54:00,05:57:00,09:07:00,09:10:00,11:40:00,11:43:00,12:25:00,12:27:00,13:50:00,13:55:00,17:03:00,17:07:00,19:08:00,19:16:00,24:34:00,24:40:00,28:20:00,28:22:00,29:56:00,30:00:00,32:26:00,32:28:00,35:25:20
20,18,4,Phill,Kiddoo,male,34,CA,US,00:00:00,"","",04:23:00,04:24:00,06:47:00,06:51:00,08:55:00,08:58:00,09:32:00,09:33:00,11:08:00,11:12:00,14:03:00,14:07:00,16:13:00,16:17:00,21:37:00,21:42:00,25:41:00,25:46:00,27:41:00,27:43:00,31:03:00,31:04:00,35:47:44
21,19,131,Paul,Hopwood,male,45,HI,US,00:00:00,02:45:00,02:47:00,04:55:00,04:59:00,08:03:00,08:09:00,10:17:00,10:20:00,11:04:00,11:07:00,12:22:00,12:30:00,15:52:00,15:57:00,18:09:00,18:17:00,24:24:00,24:33:00,27:46:00,27:51:00,29:28:00,29:34:00,32:32:00,32:39:00,35:58:56
22,3,10,Betsy,Nye,female,44,CA,US,00:00:00,03:05:00,03:09:00,05:30:00,05:35:00,08:06:00,08:10:00,10:21:00,10:22:00,11:04:00,11:07:00,12:30:00,12:40:00,15:42:00,15:48:00,18:37:00,18:43:00,24:34:00,24:53:00,28:25:00,28:30:00,30:02:00,30:04:00,32:45:00,32:48:00,36:08:23
