Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
16,14,13,John,Robinson,male,38,OR,US,00:00:00,02:23:00,02:23:00,04:21:00,04:23:00,05:27:00,05:29:00,07:32:00,07:36:00,13:10:00,13:28:00,15:43:00,15:46:00,17:30:00,17:40:00,19:59:00,20:04:00,21:58:00,22:04:00,23:24:00,23:26:00,27:43:00,27:50:00,31:20:00,31:31:00,34:15:00,34:16:00,35:34:20
17,15,132,Keith,Knipling,male,27,IL,US,00:00:00,02:23:00,02:23:00,04:21:00,04:22:00,05:26:00,05:29:00,07:38:00,07:45:00,12:31:00,12:38:00,14:47:00,14:50:00,16:33:00,16:55:00,19:21:00,19:28:00,21:18:00,21:20:00,22:44:00,22:56:00,27:43:00,27:56:00,31:05:00,31:07:00,34:03:00,34:05:00,35:47:28
18,16,151,Tim,Seminoff,male,45,UT,US,00:00:00,02:21:00,02:24:00,04:21:00,04:22:00,05:25:00,05:25:00,07:30:00,07:32:00,11:43:00,11:53:00,13:48:00,13:50:00,15:42:00,15:47:00,18:21:00,18:26:00,20:04:00,20:09:00,21:41:00,21:57:00,25:56:00,26:13:00,30:11:00,30:21:00,33:32:00,33:34:00,35:58:07
19,17,26,Reinhold,Baues,male,53,OR,US,00:00:00,02:29:00,02:31:00,04:35:00,04:36:00,05:47:00,05:47:00,08:05:00,08:13:00,13:01:00,13:16:00,15:12:00,15:16:00,17:04:00,17:26:00,19:33:00,19:46:00,21:32:00,21:39:00,23:05:00,23:25:00,27:25:00,27:39:00,31:15:00,31:32:00,34:34:00,34:40:00,36:39:10
20,18,102,Jeff,Arndt,male,50,AK,US,00:00:00,02:32:00,02:34:00,04:37:00,04:38:00,05:44:00,05:46:00,07:57:00,08:04:00,12:52:00,13:00:00,15:13:00,15:16:00,17:10:00,17:27:00,20:02:00,20:14:00,22:10:00,22:20:00,24:03:00,24:23:00,28:35:00,28:49:00,32:08:00,32:11:00,34:50:00,34:53:00,36:43:15
21,19,104,Jan,Bear,male,48,NM,US,00:00:00,02:27:00,02:27:00,04:34:00,04:35:00,05:46:00,05:47:00,08:05:00,08:07:00,13:28:00,13:28:00,15:36:00,15:38:00,17:39:00,18:05:00,20:23:00,20:28:00,22:04:00,22:07:00,23:48:00,24:30:00,28:11:00,28:35:00,31:51:00,32:11:00,34:59:00,35:04:00,37:08:00
22,20,10,Roch,Horton,male,46,CO,US,00:00:00,02:21:00,02:21:00,04:21:00,04:22:00,05:26:00,05:28:00,07:41:00,07:49:00,12:44:00,12:45:00,14:59:00,15:03:00,17:05:00,17:18:00,19:37:00,19:54:00,21:41:00,21:50:00,23:24:00,23:36:00,28:15:00,28:32:00,32:02:00,32:16:00,35:13:00,35:21:00,37:19:00
23,21,11,Blake,Wood,male,45,NM,US,00:00:00,02:14:00,02:17:00,04:15:00,04:18:00,05:27:00,05:31:00,07:40:00,07:49:00,12:12:00,12:20:00,14:31:00,14:43:00,16:53:00,17:15:00,19:43:00,20:33:00,22:20:00,22:30:00,24:05:00,24:31:00,28:29:00,28:47:00,32:23:00,32:42:00,35:49:00,35:58:00,38:30:10
24,22,16,Todd,Salzer,male,29,CO,US,00:00:00,02:27:00,02:29:00,04:48:00,04:49:00,06:06:00,06:10:00,08:26:00,08:33:00,13:39:00,13:59:00,16:05:00,16:09:00,18:06:00,18:17:00,20:58:00,21:09:00,23:07:00,23:10:00,24:42:00,25:37:00,30:21:00,30:33:00,34:18:00,34:32:00,37:05:00,37:06:00,38:40:50
25,23,123,Brett,Gosney,male,44,CO,US,00:00:00,02:41:00,02:47:00,05:03:00,05:05:00,06:19:00,06:24:00,08:49:00,09:00:00,13:43:00,14:08:00,16:34:00,16:40:00,19:08:00,19:32:00,22:19:00,22:30:00,24:13:00,24:17:00,25:58:00,26:23:00,30:35:00,30:55:00,34:22:00,34:34:00,37:18:00,37:21:00,39:09:54
26,24,32,Murray,Schart,male,44,UT,US,00:00:00,02:23:00,02:26:00,04:30:00,04:38:00,05:48:00,05:49:00,08:05:00,08:14:00,13:58:00,14:50:00,17:21:00,17:28:00,20:10:00,20:50:00,24:03:00,24:11:00,25:49:00,25:51:00,27:10:00,27:25:00,31:23:00,31:37:00,35:15:00,35:18:00,37:46:00,37:47:00,39:18:47
27,25,15,Randy,Isler,male,46,NM,US,00:00:00,02:20:00,02:21:00,04:23:00,04:24:00,05:29:00,05:30:00,07:44:00,07:51:00,12:42:00,12:45:00,14:50:00,14:51:00,16:44:00,17:02:00,20:01:00,21:31:00,23:18:00,23:20:00,24:35:00,24:45:00,29:03:00,29:17:00,33:05:00,33:17:00,36:45:00,36:54:00,39:28:31
28,26,24,Kristen,Kern,male,39,NM,US,00:00:00,02:27:00,02:28:00,04:30:00,04:33:00,05:41:00,05:43:00,07:53:00,08:01:00,13:00:00,13:11:00,15:24:00,15:28:00,17:32:00,17:52:00,20:21:00,20:33:00,22:21:00,22:30:00,24:05:00,24:25:00,28:42:00,28:56:00,32:40:00,32:52:00,36:42:00,36:57:00,39:28:31
29,27,131,Gary,Knipling,male,60,VA,US,00:00:00,02:42:00,02:42:00,05:08:00,05:12:00,06:22:00,06:26:00,08:44:00,09:01:00,14:22:00,14:45:00,17:38:00,17:48:00,20:16:00,20:49:00,23:26:00,23:37:00,25:09:00,25:10:00,26:35:00,26:56:00,31:02:00,31:23:00,35:00:00,35:05:00,37:48:00,37:50:00,39:36:05
30,28,23,Keith,Baker,male,48,NM,US,00:00:00,02:56:00,02:59:00,05:15:00,05:16:00,06:32:00,06:37:00,09:09:00,09:17:00,14:31:00,14:46:00,17:20:00,17:26:00,19:50:00,20:16:00,22:49:00,23:01:00,24:51:00,24:59:00,26:32:00,26:54:00,30:45:00,31:03:00,34:24:00,34:42:00,37:25:00,37:33:00,39:41:17
31,29,30,Mike,Dobies,male,42,MI,US,00:00:00,02:56:00,02:57:00,05:20:00,05:21:00,06:44:00,06:45:00,09:22:00,09:32:00,14:48:00,15:02:00,17:55:00,18:00:00,20:44:00,20:55:00,23:26:00,23:33:00,25:09:00,25:17:00,26:42:00,26:54:00,31:11:00,31:36:00,35:00:00,35:03:00,37:53:00,37:54:00,39:48:22
32,30,18,Charlie,Thorn,male,57,NM,US,00:00:00,02:27:00,02:29:00,04:37:00,04:40:00,05:54:00,05:56:00,08:24:00,08:35:00,13:09:00,13:24:00,15:40:00,15:44:00,18:26:00,18:47:00,21:12:00,21:25:00,"","",25:09:00,25:35:00,29:43:00,29:53:00,33:45:00,34:08:00,37:27:00,37:27:00,40:49:14
33,31,31,Don,Platt,male,49,CO,US,00:00:00,02:37:00,02:37:00,04:52:00,04:53:00,06:11:00,06:12:00,08:29:00,08:33:00,13:54:00,14:05:00,16:25:00,16:25:00,18:57:00,19:20:00,22:23:00,22:29:00,24:21:00,24:29:00,26:02:00,26:20:00,30:49:00,31:05:00,35:00:00,35:04:00,38:29:00,38:29:00,41:17:34
34,32,162,Glen,Turner,male,44,CO,US,00:00:00,02:14:00,02:14:00,04:20:00,04:21:00,05:31:00,05:31:00,07:51:00,07:56:00,13:30:00,13:50:00,16:17:00,16:25:00,18:51:00,19:27:00,22:31:00,22:42:00,25:04:00,25:07:00,26:30:00,26:56:00,32:13:00,33:08:00,36:33:00,36:40:00,39:33:00,39:38:00,41:31:55
35,33,128,Eric,Hodges,male,54,CA,US,00:00:00,02:41:00,02:47:00,04:52:00,04:53:00,06:03:00,06:04:00,08:25:00,08:36:00,13:28:00,13:47:00,16:11:00,16:20:00,18:53:00,19:23:00,22:01:00,22:12:00,24:08:00,24:15:00,25:50:00,26:33:00,30:33:00,30:51:00,35:04:00,35:17:00,38:58:00,39:04:00,41:46:55
36,34,17,Dan,Tranel,male,46,IA,US,00:00:00,02:59:00,03:01:00,05:44:00,05:46:00,07:09:00,07:10:00,09:55:00,10:05:00,16:00:00,16:20:00,18:55:00,18:56:00,21:32:00,21:48:00,24:21:00,24:22:00,26:03:00,26:03:00,27:40:00,27:55:00,32:07:00,32:22:00,35:54:00,35:57:00,39:12:00,39:14:00,41:50:08
37,35,38,Mark,Heaphy,male,41,MT,US,00:00:00,02:57:00,03:02:00,05:42:00,05:52:00,07:26:00,07:30:00,10:32:00,10:54:00,17:10:00,18:08:00,20:17:00,20:22:00,22:40:00,23:14:00,25:35:00,25:38:00,26:58:00,27:00:00,28:13:00,28:36:00,32:39:00,33:03:00,36:01:00,36:04:00,39:11:00,39:15:00,41:50:08
38,36,149,William,Rideg,male,38,MT,US,00:00:00,02:41:00,02:45:00,04:56:00,04:58:00,06:06:00,06:11:00,08:32:00,08:38:00,13:42:00,14:02:00,16:33:00,16:37:00,19:32:00,19:50:00,22:49:00,22:56:00,24:58:00,25:02:00,26:28:00,26:50:00,31:49:00,31:55:00,36:01:00,36:04:00,39:36:00,39:38:00,42:01:38
39,37,126,Brad,Hatten,male,47,CO,US,00:00:00,02:40:00,02:43:00,05:07:00,05:08:00,06:25:00,06:27:00,09:01:00,09:05:00,15:42:00,16:18:00,18:52:00,18:57:00,21:34:00,22:09:00,24:48:00,24:59:00,26:40:00,26:49:00,28:33:00,29:03:00,33:27:00,33:56:00,37:28:00,37:38:00,40:43:00,40:49:00,42:57:50
40,3,133,Ginny,LaForme,female,53,NM,US,00:00:00,02:39:00,02:39:00,04:56:00,05:00:00,06:24:00,06:25:00,09:00:00,09:11:00,15:17:00,15:37:00,18:19:00,18:27:00,21:05:00,21:41:00,24:45:00,24:47:00,26:31:00,26:40:00,28:04:00,28:21:00,32:48:00,33:18:00,36:58:00,37:10:00,40:40:00,40:45:00,43:22:36
41,38,166,Craig,Wilson,male,54,ME,US,00:00:00,02:52:00,02:52:00,05:15:00,05:16:00,06:32:00,06:36:00,09:09:00,09:17:00,14:48:00,14:59:00,17:55:00,18:00:00,21:06:00,22:02:00,24:30:00,24:43:00,26:33:00,26:42:00,28:04:00,28:26:00,32:58:00,33:08:00,36:58:00,37:10:00,40:40:00,40:45:00,43:22:36
42,4,35,Rickie,Redland,female,49,CO,US,00:00:00,02:40:00,02:41:00,04:55:00,04:58:00,06:14:00,06:19:00,08:45:00,08:49:00,13:50:00,13:57:00,16:30:00,16:33:00,19:20:00,19:37:00,22:33:00,22:43:00,25:05:00,25:07:00,27:03:00,27:25:00,32:20:00,32:49:00,36:54:00,37:10:00,40:43:00,40:50:00,43:23:32
43,39,107,Art,Bourque,male,41,AZ,US,00:00:00,02:50:00,02:54:00,05:18:00,05:23:00,06:44:00,06:48:00,09:13:00,09:22:00,14:34:00,14:34:00,17:37:00,17:56:00,20:40:00,21:30:00,24:38:00,24:43:00,26:23:00,26:28:00,28:06:00,28:26:00,32:44:00,32:58:00,36:54:00,37:03:00,40:25:00,40:34:00,43:41:35
44,40,120,Rick,Gates,male,46,UT,US,00:00:00,02:56:00,02:58:00,05:23:00,05:24:00,06:48:00,06:50:00,09:36:00,09:42:00,15:21:00,15:28:00,18:05:00,18:06:00,20:43:00,20:53:00,23:42:00,23:48:00,25:36:00,25:38:00,27:26:00,27:35:00,32:36:00,32:49:00,37:06:00,37:13:00,40:49:00,40:50:00,43:57:28
45,41,115,Jim,Drummond,male,51,,US,00:00:00,02:48:00,02:52:00,05:26:00,05:29:00,06:56:00,06:56:00,09:42:00,09:52:00,15:58:00,16:08:00,19:01:00,19:04:00,22:07:00,22:27:00,25:28:00,25:34:00,27:20:00,27:21:00,29:13:00,29:16:00,34:08:00,34:26:00,38:19:00,38:21:00,42:01:00,42:01:00,44:05:20
46,42,19,John,DeWalt,male,67,PA,US,00:00:00,02:45:00,02:49:00,05:08:00,05:10:00,06:23:00,06:26:00,09:01:00,09:09:00,15:32:00,16:12:00,19:15:00,19:21:00,21:48:00,22:22:00,25:31:00,25:51:00,27:35:00,27:42:00,29:14:00,29:40:00,34:25:00,34:51:00,38:36:00,38:43:00,42:20:00,42:30:00,44:44:44
47,43,171,Richard,Szekeresh,male,42,OH,US,00:00:00,02:50:00,02:54:00,05:22:00,05:26:00,06:51:00,06:55:00,09:42:00,09:56:00,16:31:00,16:55:00,19:40:00,19:51:00,22:31:00,22:45:00,25:07:00,25:24:00,27:12:00,27:19:00,29:03:00,29:24:00,34:14:00,34:28:00,38:13:00,38:43:00,42:01:00,42:08:00,44:47:57
48,44,147,Bud,Phillips,male,56,CA,US,00:00:00,03:04:00,03:05:00,05:42:00,05:45:00,07:06:00,07:09:00,09:46:00,09:49:00,15:31:00,15:47:00,18:22:00,18:25:00,21:05:00,21:23:00,24:27:00,24:32:00,26:22:00,26:27:00,28:06:00,28:25:00,33:02:00,33:12:00,37:07:00,37:19:00,41:10:00,41:19:00,44:48:57
49,45,111,Gary,Cuffin,male,52,CO,US,00:00:00,02:49:00,02:50:00,05:16:00,05:20:00,06:44:00,06:46:00,09:19:00,09:25:00,14:37:00,14:47:00,17:19:00,17:20:00,20:12:00,20:24:00,23:21:00,23:23:00,25:07:00,25:09:00,27:11:00,27:25:00,32:27:00,32:42:00,37:04:00,37:14:00,41:10:00,41:20:00,44:48:57
