Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
1,1,5,Jared,Campbell,male,30,UT,US,00:00:00,02:30:00,02:32:00,04:14:00,04:15:00,06:35:00,06:36:00,08:25:00,08:26:00,08:57:00,08:58:00,10:12:00,10:12:00,12:35:00,12:36:00,14:15:00,14:19:00,18:01:00,18:04:00,21:05:00,21:06:00,22:31:00,22:33:00,24:46:00,24:46:00,27:18:06
2,1,3,Diana,Finkel,female,38,CO,US,00:00:00,02:38:00,02:41:00,04:21:00,04:21:00,06:37:00,06:37:00,08:27:00,08:27:00,08:58:00,08:58:00,10:01:00,10:01:00,12:24:00,12:24:00,13:47:00,13:47:00,17:39:00,17:41:00,20:42:00,20:43:00,22:13:00,22:14:00,24:40:00,24:41:00,28:32:06
3,2,118,Michael,Foote,male,26,MT,US,00:00:00,02:37:00,02:39:00,04:24:00,04:25:00,06:47:00,06:48:00,08:51:00,08:55:00,09:29:00,09:31:00,10:44:00,10:51:00,13:25:00,13:30:00,15:11:00,15:19:00,20:13:00,20:22:00,23:30:00,23:33:00,24:48:00,24:49:00,27:02:00,27:05:00,29:35:22
4,2,101,Darcy,Africa,female,35,CO,US,00:00:00,02:38:00,02:40:00,04:43:00,04:45:00,07:08:00,07:10:00,09:04:00,09:04:00,09:39:00,09:39:00,10:53:00,11:00:00,13:26:00,13:30:00,15:22:00,15:23:00,20:12:00,20:21:00,23:32:00,23:35:00,25:04:00,25:08:00,27:22:00,27:25:00,30:14:49
5,3,154,Nick,Pedatella,male,25,CO,US,00:00:00,02:32:00,02:34:00,04:14:00,04:16:00,06:29:00,06:29:00,08:14:00,08:15:00,08:52:00,08:52:00,10:01:00,10:04:00,12:30:00,12:32:00,14:02:00,14:06:00,18:31:00,18:39:00,23:35:00,23:42:00,25:03:00,25:11:00,27:34:00,27:39:00,30:18:52
6,4,8,Ted,Mahon,male,37,CO,US,00:00:00,02:57:00,02:58:00,04:53:00,04:56:00,07:28:00,07:32:00,09:32:00,09:32:00,10:08:00,10:10:00,11:26:00,11:36:00,14:09:00,14:10:00,15:56:00,16:04:00,20:42:00,20:54:00,23:58:00,24:01:00,25:23:00,25:24:00,27:37:00,27:41:00,30:21:26
7,5,157,Jason,Poole,male,38,CO,US,00:00:00,02:38:00,02:40:00,04:43:00,04:45:00,07:10:00,07:14:00,09:21:00,09:24:00,10:02:00,10:05:00,11:21:00,11:33:00,14:09:00,14:11:00,16:08:00,16:18:00,20:52:00,21:00:00,24:25:00,24:30:00,25:56:00,26:01:00,28:00:00,28:04:00,30:31:21
8,6,130,Adam,Hewey,male,42,WA,US,00:00:00,02:50:00,02:53:00,04:45:00,04:46:00,07:10:00,07:16:00,09:11:00,09:15:00,09:47:00,09:50:00,10:58:00,11:15:00,13:57:00,14:07:00,15:54:00,16:07:00,21:25:00,21:42:00,24:45:00,24:52:00,26:17:00,26:22:00,28:25:00,28:33:00,30:57:15
9,7,106,John,Beard,male,46,TX,US,00:00:00,02:54:00,02:54:00,04:46:00,04:47:00,07:26:00,07:27:00,09:30:00,09:31:00,10:07:00,10:08:00,11:24:00,11:30:00,14:14:00,14:16:00,16:09:00,16:23:00,21:24:00,21:42:00,24:49:00,24:55:00,26:19:00,26:26:00,28:32:00,28:39:00,30:59:05
10,8,6,Roch,Horton,male,52,UT,US,00:00:00,02:46:00,02:48:00,04:39:00,04:40:00,07:20:00,07:22:00,09:28:00,09:28:00,10:08:00,10:09:00,11:27:00,11:29:00,14:09:00,14:09:00,16:08:00,16:08:00,20:52:00,21:00:00,24:23:00,24:25:00,25:54:00,25:56:00,28:18:00,28:19:00,31:09:15
11,9,4,Scott,Jaime,male,40,CO,US,00:00:00,02:25:00,02:26:00,03:59:00,04:00:00,06:10:00,06:10:00,08:08:00,08:09:00,08:40:00,08:41:00,09:53:00,09:55:00,13:18:00,13:23:00,15:26:00,16:58:00,21:24:00,21:57:00,25:08:00,25:15:00,26:41:00,26:47:00,28:52:00,28:54:00,31:17:14
12,10,102,John,Anderson,male,31,CO,US,00:00:00,02:31:00,02:33:00,04:15:00,04:17:00,06:30:00,06:32:00,08:22:00,08:25:00,08:57:00,08:58:00,10:03:00,10:07:00,12:33:00,12:35:00,14:05:00,14:11:00,19:15:00,20:05:00,23:15:00,23:17:00,24:48:00,24:48:00,28:31:00,28:42:00,31:41:44
13,11,14,Brett,Gosney,male,51,CO,US,00:00:00,02:59:00,03:03:00,05:00:00,05:02:00,07:38:00,07:42:00,09:45:00,09:48:00,10:30:00,10:32:00,11:45:00,11:56:00,14:29:00,14:33:00,16:25:00,16:39:00,21:41:00,21:56:00,25:06:00,25:13:00,26:41:00,26:43:00,29:04:00,29:12:00,32:17:49
14,12,161,Tom,Remkes,male,48,UT,US,00:00:00,02:54:00,02:56:00,04:54:00,04:57:00,07:33:00,07:39:00,09:36:00,09:39:00,10:13:00,10:16:00,11:37:00,11:55:00,14:36:00,14:42:00,16:51:00,17:01:00,21:44:00,22:04:00,25:07:00,25:11:00,26:41:00,26:48:00,29:28:00,29:36:00,32:31:23
15,3,15,Betsy,Nye,female,45,CA,US,00:00:00,02:54:00,02:55:00,04:47:00,04:49:00,07:27:00,07:29:00,09:33:00,09:33:00,10:09:00,10:10:00,11:27:00,11:36:00,14:19:00,14:21:00,16:26:00,16:30:00,21:56:00,22:09:00,25:32:00,25:36:00,27:07:00,27:07:00,29:39:00,29:40:00,32:32:07
16,13,140,Glenn,Mackie,male,48,CO,US,00:00:00,02:49:00,02:50:00,04:37:00,04:38:00,07:03:00,07:04:00,09:04:00,09:05:00,09:40:00,09:41:00,10:51:00,11:01:00,13:26:00,13:27:00,15:12:00,15:17:00,19:40:00,19:47:00,23:40:00,23:45:00,25:16:00,25:21:00,28:19:00,28:24:00,32:36:50
17,14,9,Tyler,Curiel,male,54,TX,US,00:00:00,02:59:00,03:03:00,05:05:00,05:08:00,07:55:00,08:05:00,10:19:00,10:21:00,10:57:00,11:00:00,12:30:00,12:42:00,15:33:00,15:37:00,17:45:00,17:57:00,22:46:00,23:03:00,26:12:00,26:16:00,27:40:00,27:42:00,29:49:00,29:54:00,32:58:49
18,15,128,Greg,Hartman,male,36,CO,US,00:00:00,02:51:00,02:54:00,04:53:00,04:55:00,07:34:00,07:38:00,09:49:00,09:49:00,10:29:00,10:31:00,11:52:00,12:01:00,15:24:00,15:54:00,17:53:00,18:30:00,23:10:00,23:36:00,26:50:00,26:51:00,28:22:00,28:25:00,30:32:00,30:36:00,33:22:59
19,16,165,Terry,Sentinella,male,46,WA,US,00:00:00,03:00:00,03:00:00,04:57:00,05:00:00,07:44:00,07:46:00,09:56:00,09:58:00,10:34:00,10:37:00,12:03:00,12:03:00,14:52:00,14:55:00,16:52:00,16:57:00,21:59:00,22:06:00,25:31:00,25:33:00,27:12:00,27:15:00,29:55:00,30:03:00,33:33:00
20,17,137,Jason,Koop,male,31,CO,US,00:00:00,02:54:00,02:55:00,04:47:00,04:49:00,07:21:00,07:22:00,09:31:00,09:32:00,10:09:00,10:10:00,11:18:00,11:25:00,14:08:00,14:09:00,16:07:00,16:15:00,22:17:00,22:29:00,26:21:00,26:32:00,27:48:00,27:49:00,30:36:00,30:41:00,34:06:22
21,18,18,Allen,Hadley,male,53,CO,US,00:00:00,02:52:00,02:53:00,04:46:00,04:51:00,07:28:00,07:29:00,09:35:00,09:36:00,10:12:00,10:13:00,11:35:00,11:44:00,14:32:00,14:35:00,16:39:00,16:55:00,22:24:00,22:40:00,26:34:00,26:38:00,28:17:00,28:18:00,31:01:00,31:07:00,34:14:22
22,19,173,Tim,Stroh,male,48,WA,US,00:00:00,02:58:00,03:01:00,04:58:00,05:04:00,07:45:00,07:53:00,09:55:00,09:58:00,10:34:00,10:37:00,11:54:00,12:07:00,14:43:00,14:45:00,16:41:00,16:47:00,22:02:00,22:28:00,26:12:00,26:20:00,27:48:00,28:04:00,30:37:00,30:42:00,34:17:53
23,20,124,Garrett,Graubins,male,37,CO,US,00:00:00,03:00:00,03:05:00,05:06:00,05:09:00,07:50:00,07:58:00,10:06:00,10:08:00,10:47:00,10:49:00,12:25:00,12:32:00,15:16:00,15:25:00,17:25:00,17:41:00,23:04:00,23:46:00,27:16:00,27:29:00,28:52:00,29:11:00,31:15:00,31:25:00,34:19:45
24,21,13,Bruce,Grant,male,44,,CA,00:00:00,02:54:00,02:56:00,04:57:00,04:59:00,07:39:00,07:42:00,10:03:00,10:05:00,10:40:00,10:42:00,12:02:00,12:13:00,15:11:00,15:14:00,17:20:00,17:35:00,22:59:00,23:39:00,26:30:00,26:33:00,28:10:00,28:15:00,30:52:00,31:01:00,34:37:38
25,4,16,Betsy,Kalmeyer,female,49,CO,US,00:00:00,02:58:00,03:04:00,05:06:00,05:12:00,07:53:00,08:03:00,10:05:00,10:08:00,10:45:00,10:49:00,12:10:00,12:24:00,15:18:00,15:31:00,17:38:00,18:03:00,24:07:00,24:29:00,27:42:00,27:48:00,29:12:00,29:24:00,31:35:00,31:46:00,34:39:33
26,22,17,Scott,Brockmeier,male,48,GA,US,00:00:00,03:26:00,03:29:00,05:51:00,05:52:00,09:04:00,09:12:00,11:37:00,11:37:00,12:24:00,12:26:00,13:53:00,14:03:00,17:09:00,17:12:00,19:23:00,19:37:00,24:56:00,25:16:00,28:39:00,28:45:00,30:09:00,30:14:00,32:20:00,32:32:00,35:35:50
27,23,177,Neal,Taylor,male,47,CO,US,00:00:00,02:58:00,03:00:00,04:56:00,04:58:00,07:51:00,07:59:00,10:14:00,10:15:00,10:57:00,10:58:00,12:35:00,12:50:00,15:33:00,15:36:00,17:50:00,18:01:00,24:10:00,24:32:00,27:52:00,27:54:00,29:19:00,29:20:00,32:03:00,32:06:00,35:46:09
28,24,158,John,Prater,male,39,CO,US,00:00:00,03:16:00,03:19:00,05:24:00,05:26:00,08:11:00,08:19:00,10:35:00,10:40:00,11:14:00,11:15:00,12:35:00,13:00:00,16:22:00,16:30:00,18:40:00,19:15:00,25:14:00,25:49:00,28:44:00,28:45:00,30:11:00,30:15:00,32:34:00,32:42:00,35:54:20
29,25,25,Chris,Twiggs,male,39,FL,US,00:00:00,03:08:00,03:09:00,05:28:00,05:30:00,08:37:00,08:43:00,11:37:00,11:42:00,12:28:00,12:29:00,14:00:00,14:10:00,17:39:00,17:43:00,20:13:00,20:24:00,25:27:00,25:34:00,28:31:00,28:35:00,30:07:00,30:09:00,32:29:00,32:37:00,35:58:17
30,26,160,Kris,Quandt,male,36,WY,US,00:00:00,02:59:00,03:03:00,05:07:00,05:07:00,08:10:00,08:17:00,10:25:00,10:26:00,11:10:00,11:12:00,12:49:00,13:02:00,15:52:00,16:00:00,18:15:00,18:34:00,24:01:00,24:14:00,27:45:00,27:50:00,29:26:00,29:37:00,32:09:00,32:25:00,36:05:41
31,27,175,Paul,Sweeney,male,44,CA,US,00:00:00,02:54:00,02:55:00,04:45:00,04:47:00,07:33:00,07:37:00,11:13:00,11:25:00,12:06:00,12:18:00,13:43:00,14:07:00,17:19:00,17:49:00,20:21:00,20:33:00,25:36:00,26:07:00,29:16:00,29:18:00,30:40:00,30:43:00,32:59:00,33:24:00,36:13:17
32,28,125,John,Hallsten,male,53,MT,US,00:00:00,02:54:00,02:56:00,04:53:00,04:58:00,07:28:00,07:38:00,09:37:00,09:40:00,10:18:00,10:22:00,11:49:00,12:07:00,15:05:00,15:15:00,17:36:00,18:13:00,24:18:00,24:43:00,28:19:00,28:30:00,30:06:00,30:07:00,32:40:00,32:46:00,36:27:09
33,29,168,Paul,Smith,male,54,CO,US,00:00:00,03:23:00,03:26:00,05:46:00,05:53:00,09:08:00,09:20:00,11:37:00,11:40:00,12:20:00,12:24:00,13:41:00,14:00:00,17:01:00,17:06:00,19:20:00,19:31:00,24:54:00,25:23:00,28:50:00,28:57:00,30:31:00,30:41:00,33:14:00,33:23:00,36:50:18
34,30,163,Steve,Roark,male,42,AZ,US,00:00:00,03:31:00,03:35:00,05:49:00,05:52:00,08:42:00,08:47:00,10:52:00,10:53:00,11:44:00,11:46:00,13:22:00,13:37:00,16:58:00,17:06:00,19:45:00,20:08:00,26:07:00,26:40:00,29:43:00,29:48:00,31:28:00,31:38:00,33:52:00,34:05:00,36:59:09
35,31,153,David,Pease,male,47,UT,US,00:00:00,03:08:00,03:11:00,05:27:00,05:30:00,08:36:00,08:50:00,11:14:00,11:15:00,12:00:00,12:02:00,13:30:00,13:52:00,17:24:00,17:36:00,20:10:00,20:26:00,25:54:00,26:10:00,29:41:00,29:47:00,31:22:00,31:27:00,33:57:00,34:09:00,37:24:43
