Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
1,1,1,Karl,Meltzer,male,39,UT,US,00:00:00,02:45:00,02:45:00,04:24:00,04:24:00,06:41:00,06:49:00,08:54:00,08:55:00,09:26:00,09:27:00,10:40:00,10:42:00,13:15:00,13:16:00,14:44:00,14:46:00,18:28:00,18:32:00,21:16:00,21:18:00,22:37:00,22:38:00,24:32:00,24:38:00,27:07:55
2,2,175,Joseph,Shults,male,46,CO,US,00:00:00,02:56:00,02:57:00,04:46:00,04:46:00,07:14:00,07:19:00,09:19:00,09:21:00,09:57:00,09:59:00,11:26:00,11:40:00,14:35:00,14:40:00,16:18:00,16:32:00,20:32:00,20:48:00,23:51:00,23:58:00,25:05:00,25:10:00,27:19:00,27:32:00,30:29:27
3,1,8,Betsy,Kalmeyer,female,45,CO,US,00:00:00,02:57:00,02:57:00,04:59:00,05:00:00,07:42:00,07:47:00,09:55:00,09:56:00,10:35:00,10:37:00,11:54:00,12:06:00,15:00:00,15:05:00,16:53:00,17:23:00,21:56:00,22:14:00,25:23:00,25:31:00,26:48:00,26:52:00,29:16:00,29:21:00,31:53:51
4,3,123,Ty,Draney,male,32,WY,US,00:00:00,02:55:00,02:56:00,04:48:00,04:51:00,07:26:00,07:30:00,09:40:00,09:43:00,10:26:00,10:28:00,11:47:00,11:50:00,14:49:00,14:51:00,16:44:00,16:51:00,21:55:00,22:00:00,25:30:00,25:36:00,27:04:00,27:06:00,29:38:00,29:44:00,32:27:17
5,4,18,Glenn,Mackie,male,44,TX,US,00:00:00,03:05:00,03:07:00,05:03:00,05:04:00,07:48:00,07:53:00,10:02:00,10:06:00,10:50:00,10:59:00,12:15:00,12:24:00,15:12:00,15:15:00,17:06:00,17:13:00,22:18:00,22:26:00,25:48:00,25:49:00,27:02:00,27:05:00,29:32:00,29:36:00,32:28:03
6,5,143,Roch,Horton,male,49,UT,US,00:00:00,02:58:00,02:58:00,04:54:00,04:54:00,07:37:00,07:39:00,09:58:00,10:02:00,10:41:00,10:42:00,12:02:00,12:09:00,15:11:00,15:15:00,17:01:00,17:02:00,22:02:00,22:18:00,25:34:00,25:39:00,27:04:00,27:07:00,29:49:00,29:49:00,32:28:38
7,6,6,Tom,Garrison,male,48,NM,US,00:00:00,03:11:00,03:12:00,05:06:00,05:08:00,07:47:00,07:59:00,10:05:00,10:07:00,10:44:00,10:46:00,12:10:00,12:35:00,15:30:00,15:33:00,17:33:00,17:59:00,22:29:00,22:40:00,25:46:00,25:50:00,27:18:00,27:19:00,29:32:00,29:37:00,32:35:04
8,7,10,Neal,Taylor,male,44,CO,US,00:00:00,03:03:00,03:06:00,05:06:00,05:08:00,07:59:00,08:04:00,10:21:00,10:27:00,11:18:00,11:22:00,12:47:00,13:03:00,16:10:00,16:14:00,18:24:00,18:38:00,23:44:00,23:51:00,26:44:00,26:46:00,28:08:00,28:08:00,30:01:00,30:02:00,32:43:26
9,2,13,Betsy,Nye,female,42,CA,US,00:00:00,03:06:00,03:07:00,05:08:00,05:10:00,07:57:00,08:00:00,10:05:00,10:06:00,10:46:00,10:47:00,12:15:00,12:19:00,15:25:00,15:27:00,17:30:00,17:32:00,22:57:00,23:07:00,26:21:00,26:24:00,27:47:00,27:49:00,30:01:00,30:02:00,32:52:09
10,8,11,Kirk,Apt,male,44,CO,US,00:00:00,03:03:00,03:05:00,05:02:00,05:02:00,07:37:00,07:42:00,09:44:00,09:47:00,10:34:00,10:36:00,11:53:00,12:09:00,14:56:00,15:04:00,16:50:00,16:51:00,22:02:00,22:19:00,25:31:00,25:39:00,27:04:00,27:12:00,30:01:00,30:02:00,33:10:13
11,9,176,Billy,Simpson,male,51,TN,US,00:00:00,03:03:00,03:04:00,05:05:00,05:08:00,08:09:00,08:16:00,11:01:00,11:06:00,11:42:00,11:44:00,12:55:00,13:09:00,15:58:00,16:03:00,17:41:00,17:51:00,22:36:00,22:46:00,26:44:00,26:48:00,28:13:00,28:15:00,30:35:00,30:41:00,33:59:15
12,10,2,Paul,Sweeney,male,40,CA,US,00:00:00,02:45:00,02:45:00,04:34:00,04:36:00,07:06:00,07:08:00,09:22:00,09:23:00,09:54:00,09:55:00,11:07:00,11:13:00,15:20:00,16:22:00,18:38:00,19:47:00,24:45:00,25:10:00,27:49:00,27:53:00,29:12:00,29:17:00,31:13:00,31:15:00,34:16:20
13,11,12,Jake,Jones,male,33,CO,US,00:00:00,03:03:00,03:05:00,05:02:00,05:02:00,07:47:00,07:49:00,10:16:00,10:20:00,11:04:00,11:13:00,12:45:00,12:54:00,16:05:00,16:15:00,18:14:00,18:36:00,23:44:00,24:02:00,27:19:00,27:25:00,28:48:00,28:59:00,31:16:00,31:23:00,34:30:11
14,12,16,Mike,Ehrlich,male,43,CO,US,00:00:00,03:10:00,03:14:00,05:10:00,05:16:00,07:44:00,07:48:00,09:54:00,09:55:00,10:35:00,10:36:00,11:57:00,12:07:00,15:11:00,15:15:00,17:03:00,17:13:00,22:19:00,22:34:00,25:53:00,26:00:00,27:33:00,27:38:00,30:25:00,30:31:00,34:57:58
15,13,9,Tyler,Curiel,male,50,LA,US,00:00:00,03:03:00,03:06:00,05:06:00,05:14:00,08:11:00,08:29:00,10:59:00,11:04:00,11:42:00,11:48:00,13:13:00,13:39:00,16:38:00,16:45:00,18:35:00,19:03:00,24:16:00,24:43:00,27:53:00,27:58:00,29:25:00,29:28:00,31:43:00,31:49:00,35:11:29
16,14,165,Jason,Poole,male,35,CO,US,00:00:00,03:03:00,03:05:00,05:06:00,05:14:00,08:04:00,08:15:00,10:35:00,10:38:00,11:22:00,11:26:00,12:47:00,13:09:00,16:10:00,16:15:00,18:19:00,18:36:00,23:51:00,24:13:00,27:59:00,28:06:00,29:36:00,29:44:00,32:22:00,32:40:00,35:46:27
17,15,147,Pasi,Kurkilahti,male,27,,,00:00:00,02:57:00,02:58:00,05:08:00,05:08:00,08:38:00,08:43:00,11:04:00,11:10:00,12:01:00,12:06:00,13:45:00,13:55:00,16:54:00,16:59:00,19:11:00,19:20:00,24:41:00,24:49:00,28:01:00,28:06:00,29:37:00,29:43:00,32:24:00,32:32:00,35:58:21
18,16,4,Tom,Hayes-McGoff,male,56,MT,US,00:00:00,03:07:00,03:08:00,05:08:00,05:12:00,08:12:00,09:00:00,11:29:00,11:36:00,12:23:00,12:23:00,13:45:00,14:19:00,17:44:00,17:50:00,19:51:00,20:15:00,25:21:00,25:34:00,28:58:00,28:59:00,30:30:00,30:40:00,33:01:00,33:18:00,36:28:28
19,17,183,David,Wilcox,male,,GA,US,00:00:00,03:32:00,03:36:00,05:56:00,06:02:00,09:09:00,09:22:00,11:48:00,11:51:00,12:43:00,12:47:00,14:14:00,14:36:00,18:14:00,18:20:00,20:33:00,20:48:00,26:22:00,26:37:00,30:02:00,30:09:00,31:43:00,31:49:00,34:03:00,34:12:00,37:06:54
20,18,21,Randy,Isler,male,49,NM,US,00:00:00,02:58:00,03:00:00,04:59:00,05:01:00,07:48:00,07:54:00,10:29:00,10:33:00,11:18:00,11:19:00,12:47:00,12:59:00,16:11:00,16:46:00,19:05:00,19:34:00,25:17:00,25:35:00,29:19:00,29:30:00,30:58:00,31:03:00,33:45:00,33:58:00,37:37:07
21,19,144,Cory,Johnson,male,42,UT,US,00:00:00,03:06:00,03:07:00,05:20:00,05:25:00,08:37:00,08:46:00,11:52:00,11:57:00,12:48:00,12:51:00,14:12:00,14:25:00,18:13:00,18:17:00,20:46:00,20:57:00,26:25:00,26:36:00,29:59:00,30:04:00,31:31:00,31:35:00,34:02:00,34:08:00,37:37:07
22,20,138,Corey,Handelsman,male,28,MD,US,00:00:00,02:58:00,03:00:00,05:14:00,05:15:00,08:46:00,09:09:00,11:36:00,11:41:00,12:16:00,12:19:00,13:29:00,13:59:00,17:17:00,17:31:00,19:32:00,20:29:00,25:49:00,26:25:00,29:49:00,29:59:00,31:22:00,31:32:00,33:38:00,34:00:00,37:37:07
23,21,125,Klas,Eklof,male,35,CA,US,00:00:00,03:43:00,03:46:00,06:05:00,06:08:00,09:25:00,09:43:00,12:07:00,12:10:00,12:55:00,12:57:00,14:27:00,14:56:00,18:31:00,18:40:00,20:47:00,21:16:00,26:27:00,26:51:00,29:53:00,30:03:00,31:32:00,31:41:00,34:27:00,34:33:00,37:39:20
24,22,102,Sean,Andrish,male,,,,00:00:00,03:14:00,03:15:00,05:34:00,05:36:00,08:42:00,08:49:00,11:44:00,11:52:00,12:52:00,12:55:00,13:59:00,14:08:00,16:45:00,16:49:00,18:33:00,18:50:00,23:38:00,23:49:00,26:52:00,26:55:00,28:24:00,28:28:00,31:48:00,32:13:00,37:39:50
25,23,137,Jason,Halladay,male,32,NM,US,00:00:00,03:19:00,03:21:00,05:10:00,05:16:00,08:06:00,08:15:00,10:28:00,10:32:00,11:18:00,11:23:00,12:47:00,13:03:00,16:33:00,16:50:00,19:00:00,19:21:00,25:03:00,25:23:00,29:15:00,29:30:00,30:55:00,31:09:00,33:43:00,34:08:00,37:46:04
26,24,104,Jim,Baker,male,56,OK,US,00:00:00,03:10:00,03:22:00,05:33:00,05:38:00,08:38:00,08:49:00,11:17:00,11:22:00,12:11:00,12:15:00,13:45:00,14:01:00,17:34:00,17:41:00,20:01:00,20:26:00,25:39:00,25:56:00,29:38:00,29:45:00,31:19:00,31:27:00,33:58:00,34:14:00,38:05:52
27,25,35,Kristen,Kern,male,42,NM,US,00:00:00,03:14:00,03:15:00,05:20:00,05:24:00,08:20:00,08:35:00,11:10:00,11:15:00,11:58:00,12:04:00,"","",17:24:00,17:34:00,19:54:00,20:29:00,26:15:00,26:47:00,29:57:00,30:01:00,31:35:00,31:42:00,34:18:00,34:34:00,38:24:49
28,26,171,Todd,Salzer,male,32,CO,US,00:00:00,03:09:00,03:11:00,05:21:00,05:24:00,08:38:00,08:54:00,11:36:00,11:41:00,12:26:00,12:31:00,13:54:00,14:16:00,17:50:00,18:14:00,20:48:00,21:45:00,26:27:00,26:49:00,29:52:00,29:59:00,31:39:00,32:08:00,34:42:00,34:59:00,38:38:25
29,27,19,Dennis,Drey,male,55,NM,US,00:00:00,03:38:00,03:42:00,05:54:00,06:00:00,09:08:00,09:21:00,11:38:00,11:45:00,12:26:00,12:28:00,13:54:00,14:18:00,17:55:00,18:11:00,20:19:00,20:40:00,26:10:00,26:37:00,30:05:00,30:12:00,31:48:00,31:59:00,34:40:00,34:57:00,38:46:44
30,28,116,Kurt,Coonrod,male,46,NM,US,00:00:00,03:38:00,03:41:00,05:54:00,06:01:00,09:08:00,09:21:00,11:38:00,11:45:00,12:26:00,12:28:00,13:54:00,14:18:00,17:55:00,18:11:00,20:19:00,20:40:00,26:10:00,26:30:00,30:05:00,30:12:00,31:48:00,31:59:00,34:40:00,34:56:00,38:46:44
31,29,121,Yves,Detry,male,58,,,00:00:00,03:33:00,03:39:00,05:58:00,06:03:00,09:20:00,09:32:00,11:53:00,11:57:00,12:48:00,12:52:00,14:23:00,14:45:00,18:27:00,18:40:00,21:08:00,21:29:00,27:10:00,27:21:00,31:03:00,31:05:00,32:45:00,33:09:00,35:43:00,35:45:00,39:21:30
32,30,127,Etienne,Fert,male,40,,,00:00:00,03:16:00,03:16:00,05:29:00,05:35:00,08:42:00,08:58:00,11:57:00,12:00:00,12:43:00,12:48:00,14:28:00,14:56:00,18:23:00,18:31:00,20:28:00,20:38:00,25:48:00,26:09:00,29:57:00,30:06:00,31:49:00,32:01:00,34:49:00,35:01:00,39:21:30
33,31,5,Brett,Sublett,male,41,CO,US,00:00:00,03:06:00,03:07:00,05:08:00,05:14:00,08:09:00,08:23:00,10:29:00,10:33:00,11:14:00,11:17:00,12:33:00,12:44:00,15:45:00,15:55:00,17:48:00,18:12:00,23:55:00,24:17:00,28:30:00,29:00:00,30:39:00,30:52:00,33:43:00,34:04:00,39:46:20
34,32,14,James,Nelson,male,46,UT,US,00:00:00,03:03:00,03:04:00,05:04:00,05:06:00,08:13:00,08:30:00,10:55:00,10:57:00,11:44:00,11:46:00,13:23:00,13:42:00,17:45:00,18:15:00,20:46:00,21:23:00,27:59:00,28:25:00,31:40:00,31:45:00,33:14:00,33:23:00,35:50:00,36:03:00,40:02:06
35,33,15,Blake,Wood,male,48,NM,US,00:00:00,03:17:00,03:21:00,05:29:00,05:32:00,08:37:00,08:45:00,10:53:00,10:55:00,11:39:00,11:41:00,13:13:00,13:23:00,16:54:00,17:10:00,19:39:00,20:00:00,25:55:00,26:25:00,30:06:00,30:27:00,32:13:00,32:33:00,35:24:00,35:33:00,40:53:20
36,34,42,Scott,Olmer,male,35,CO,US,00:00:00,03:35:00,03:38:00,05:52:00,05:55:00,09:12:00,09:19:00,11:52:00,11:55:00,12:47:00,12:52:00,14:30:00,14:45:00,18:48:00,18:59:00,21:23:00,21:38:00,27:39:00,27:56:00,31:43:00,31:53:00,33:31:00,33:45:00,36:39:00,36:49:00,41:07:20
37,35,145,Phil,Kahn,male,53,CO,US,00:00:00,03:44:00,03:50:00,06:08:00,06:09:00,09:33:00,09:52:00,12:09:00,12:12:00,13:08:00,13:14:00,14:56:00,15:23:00,18:46:00,18:56:00,21:20:00,21:44:00,27:11:00,27:39:00,31:35:00,31:46:00,33:19:00,33:22:00,36:03:00,36:27:00,41:10:51
