Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
1,1,142,Scott,Jurek,male,34,WA,US,00:00:00,01:59:00,01:59:00,03:39:00,03:40:00,04:33:00,04:33:00,06:21:00,06:22:00,09:49:00,09:49:00,11:26:00,11:27:00,12:47:00,12:51:00,14:54:00,14:55:00,16:15:00,16:17:00,17:17:00,17:19:00,20:26:00,20:29:00,23:02:00,23:04:00,25:02:00,25:03:00,26:08:34
2,2,1,Karl,Meltzer,male,40,UT,US,00:00:00,02:03:00,02:04:00,03:44:00,03:45:00,04:31:00,04:32:00,06:24:00,06:26:00,09:51:00,09:51:00,11:37:00,11:38:00,13:04:00,13:07:00,15:10:00,15:10:00,16:21:00,16:23:00,17:31:00,17:32:00,21:24:00,23:32:00,25:44:00,25:44:00,27:48:00,27:48:00,28:59:08
3,1,153,Krissy,Moehl,female,30,WA,US,00:00:00,02:21:00,02:21:00,04:19:00,04:19:00,05:19:00,05:19:00,07:18:00,07:21:00,11:14:00,11:14:00,13:11:00,13:12:00,14:53:00,15:02:00,17:11:00,17:14:00,18:41:00,18:44:00,19:50:00,19:56:00,23:33:00,23:42:00,26:01:00,26:05:00,28:17:00,28:18:00,29:24:45
4,3,111,Jared,Campbell,male,27,UT,US,00:00:00,02:11:00,02:11:00,04:09:00,04:10:00,05:09:00,05:11:00,07:08:00,07:11:00,10:59:00,11:02:00,12:54:00,12:54:00,14:23:00,14:34:00,16:26:00,16:46:00,18:06:00,18:06:00,19:16:00,19:21:00,23:13:00,23:25:00,26:00:00,26:03:00,28:15:00,28:15:00,29:37:11
5,4,10,Paul,Sweeney,male,41,CA,US,00:00:00,02:22:00,02:22:00,04:16:00,04:16:00,05:13:00,05:14:00,07:02:00,07:05:00,10:55:00,10:56:00,12:57:00,13:00:00,14:34:00,14:52:00,17:20:00,17:26:00,18:56:00,19:01:00,20:01:00,20:03:00,23:30:00,23:33:00,26:14:00,26:16:00,28:36:00,28:38:00,29:46:29
6,5,4,Glenn,Mackie,male,45,TX,US,00:00:00,02:15:00,02:15:00,04:10:00,04:10:00,05:08:00,05:09:00,07:07:00,07:09:00,10:56:00,10:56:00,12:48:00,12:49:00,14:27:00,14:38:00,16:53:00,16:56:00,18:25:00,18:26:00,19:52:00,19:55:00,23:43:00,23:45:00,26:41:00,26:42:00,29:13:00,29:13:00,30:45:12
7,6,143,Phill,Kiddoo,male,33,CA,US,00:00:00,02:17:00,02:18:00,04:04:00,04:05:00,04:57:00,04:58:00,06:47:00,06:51:00,10:33:00,10:35:00,12:30:00,12:32:00,14:08:00,14:14:00,16:31:00,16:34:00,17:57:00,17:59:00,19:00:00,19:03:00,23:48:00,23:53:00,26:45:00,26:48:00,29:22:00,29:23:00,30:52:33
8,2,105,Emily,Baer,female,31,CO,US,00:00:00,02:16:00,02:17:00,04:15:00,04:16:00,05:13:00,05:14:00,07:12:00,07:16:00,11:04:00,11:06:00,13:08:00,13:09:00,14:49:00,15:02:00,17:23:00,17:26:00,18:56:00,19:01:00,20:15:00,20:25:00,24:33:00,24:39:00,27:29:00,27:36:00,30:18:00,30:19:00,31:41:34
9,7,115,Ricky,Denesik,male,48,CO,US,00:00:00,02:03:00,02:03:00,03:39:00,03:39:00,04:31:00,04:31:00,06:21:00,06:23:00,10:20:00,10:23:00,12:16:00,12:16:00,14:04:00,14:11:00,16:38:00,16:44:00,18:24:00,18:25:00,19:51:00,20:03:00,24:18:00,24:26:00,27:25:00,27:26:00,30:11:00,30:13:00,31:58:01
10,8,167,Whit,Rambach,male,40,CA,US,00:00:00,02:16:00,02:17:00,04:13:00,04:14:00,05:11:00,05:12:00,07:12:00,07:18:00,11:05:00,11:12:00,12:59:00,13:00:00,14:39:00,14:54:00,17:18:00,17:30:00,19:04:00,19:04:00,20:19:00,20:32:00,24:55:00,25:49:00,28:38:00,28:44:00,31:10:00,31:11:00,32:32:50
11,9,152,Scott,Mills,male,56,CA,US,00:00:00,02:20:00,02:20:00,04:19:00,04:19:00,05:17:00,05:18:00,07:17:00,07:22:00,11:12:00,11:12:00,13:06:00,13:07:00,14:51:00,14:58:00,17:16:00,17:19:00,19:00:00,19:02:00,20:20:00,20:31:00,24:37:00,24:51:00,28:10:00,28:13:00,31:03:00,31:04:00,32:43:17
