Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
1,1,170,Paul,Sweeney,male,38,CA,US,00:00:00,02:53:00,02:55:00,04:46:00,04:49:00,07:15:00,07:20:00,09:27:00,09:30:00,10:05:00,10:06:00,11:17:00,11:28:00,14:22:00,14:23:00,16:32:00,16:43:00,21:04:00,21:11:00,25:05:00,25:09:00,26:25:00,26:27:00,28:31:00,28:32:00,30:39:14
2,2,165,Giselher,Schneider,male,41,,,00:00:00,02:47:00,02:49:00,04:37:00,04:38:00,07:06:00,07:10:00,09:16:00,09:17:00,09:51:00,09:53:00,11:02:00,11:08:00,14:10:00,14:12:00,16:04:00,16:14:00,20:55:00,21:03:00,24:21:00,24:24:00,25:54:00,25:57:00,28:20:00,28:20:00,31:24:33
3,3,167,Kevin,Shilling,male,37,UT,US,00:00:00,02:54:00,02:56:00,04:53:00,04:56:00,07:19:00,07:27:00,09:24:00,09:29:00,10:07:00,10:08:00,11:17:00,11:36:00,14:13:00,14:19:00,16:09:00,16:35:00,21:30:00,22:25:00,25:29:00,25:38:00,26:57:00,27:15:00,29:16:00,29:23:00,31:59:12
4,4,3,Kirk,Apt,male,42,CO,US,00:00:00,02:55:00,02:56:00,04:53:00,04:55:00,07:20:00,07:26:00,09:26:00,09:28:00,10:11:00,10:15:00,11:29:00,11:35:00,14:13:00,14:19:00,16:09:00,16:12:00,21:30:00,21:46:00,24:59:00,25:10:00,26:43:00,26:54:00,29:29:00,29:29:00,32:34:16
5,1,6,Betsy,Kalmeyer,female,43,CO,US,00:00:00,02:54:00,02:56:00,04:53:00,04:57:00,07:30:00,07:39:00,09:40:00,09:44:00,10:19:00,10:22:00,11:34:00,11:47:00,14:36:00,14:39:00,16:34:00,16:56:00,22:07:00,22:19:00,25:27:00,25:32:00,27:01:00,27:10:00,29:33:00,29:40:00,32:48:52
6,5,10,Roch,Horton,male,47,CO,US,00:00:00,02:55:00,02:56:00,04:54:00,04:54:00,07:39:00,07:41:00,09:54:00,09:55:00,10:36:00,10:38:00,11:56:00,12:05:00,15:04:00,15:07:00,17:12:00,17:14:00,22:59:00,23:14:00,26:34:00,26:39:00,28:09:00,28:16:00,30:54:00,30:54:00,33:39:40
7,6,126,Tom,Garrison,male,46,NM,US,00:00:00,03:21:00,03:25:00,05:30:00,05:33:00,08:15:00,08:25:00,10:40:00,10:46:00,11:27:00,11:35:00,13:00:00,13:13:00,16:14:00,16:21:00,18:29:00,19:02:00,24:01:00,24:20:00,27:23:00,27:29:00,28:53:00,28:57:00,30:56:00,31:01:00,33:40:26
8,7,131,Allen,Hadley,male,47,CO,US,00:00:00,02:53:00,02:54:00,04:47:00,04:52:00,07:20:00,07:27:00,09:30:00,09:34:00,10:12:00,10:15:00,11:40:00,11:49:00,14:41:00,14:43:00,16:38:00,17:00:00,22:23:00,22:49:00,26:40:00,26:42:00,28:20:00,28:33:00,30:59:00,30:59:00,33:54:06
9,8,11,Blake,Wood,male,46,NM,US,00:00:00,03:24:00,03:28:00,05:37:00,05:43:00,08:40:00,08:52:00,11:10:00,11:12:00,11:54:00,12:00:00,13:22:00,13:40:00,16:35:00,16:45:00,18:43:00,18:55:00,24:01:00,24:22:00,27:31:00,27:40:00,29:00:00,29:04:00,31:07:00,31:11:00,34:09:23
10,9,7,Tyler,Curiel,male,48,LA,US,00:00:00,03:01:00,03:03:00,05:07:00,05:10:00,07:56:00,08:06:00,10:28:00,10:34:00,11:15:00,11:18:00,12:50:00,13:07:00,16:27:00,16:39:00,18:51:00,19:20:00,24:27:00,24:48:00,27:55:00,27:55:00,29:27:00,29:34:00,31:43:00,31:49:00,34:28:06
