Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Burrows In,Burrows Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
1,1,180,Jason,Schlarb,male,38,CO,US,00:00:00,02:17:00,02:18:00,03:42:00,03:44:00,05:39:00,05:41:00,07:17:00,07:19:00,07:44:00,07:45:00,08:45:00,08:49:00,10:54:00,10:56:00,12:10:00,12:16:00,14:45:00,14:46:00,15:22:00,15:29:00,17:52:00,17:58:00,18:56:00,19:04:00,20:40:00,20:44:00,22:58:28
2,2,1,Kilian,Jornet,male,28,,ES,00:00:00,02:17:00,02:19:00,03:43:00,03:44:00,05:39:00,05:40:00,07:10:00,07:13:00,07:39:00,07:39:00,08:35:00,08:38:00,10:44:00,10:47:00,12:06:00,12:13:00,14:45:00,14:47:00,15:22:00,15:29:00,17:52:00,17:58:00,18:56:00,19:04:00,20:40:00,20:44:00,22:58:28
3,3,190,Xavier,Thevenard,male,28,,FR,00:00:00,02:17:00,02:18:00,03:42:00,03:44:00,05:39:00,05:40:00,07:10:00,07:13:00,07:39:00,07:39:00,08:35:00,08:37:00,10:51:00,10:53:00,12:09:00,12:12:00,14:57:00,14:59:00,15:33:00,15:43:00,18:27:00,18:32:00,19:37:00,19:44:00,21:29:00,21:36:00,23:57:10
4,4,114,Jeff,Browning,male,44,OR,US,00:00:00,02:27:00,02:27:00,04:02:00,04:02:00,06:16:00,06:19:00,08:08:00,08:10:00,08:36:00,08:37:00,09:43:00,09:47:00,12:10:00,12:11:00,13:38:00,13:44:00,16:32:00,16:33:00,17:16:00,17:20:00,20:08:00,20:09:00,21:26:00,21:28:00,23:21:00,23:22:00,25:42:03
5,5,152,Ryan,Kaiser,male,37,OR,US,00:00:00,02:38:00,02:39:00,04:18:00,04:21:00,06:35:00,06:39:00,08:23:00,08:28:00,09:01:00,09:01:00,09:56:00,10:05:00,12:42:00,12:46:00,14:11:00,14:23:00,17:23:00,17:27:00,18:09:00,18:18:00,21:06:00,21:15:00,22:37:00,22:43:00,24:39:00,24:46:00,27:39:16
6,6,198,Bryan,Williams,male,41,CO,US,00:00:00,02:38:00,02:40:00,04:28:00,04:29:00,06:52:00,06:54:00,08:53:00,08:54:00,09:31:00,09:33:00,10:40:00,10:45:00,13:14:00,13:15:00,14:39:00,14:43:00,17:46:00,17:48:00,18:30:00,18:32:00,21:49:00,21:51:00,23:15:00,23:18:00,25:22:00,25:26:00,28:41:19
7,7,165,Ted,Mahon,male,43,CO,US,00:00:00,02:43:00,02:45:00,04:32:00,04:34:00,07:06:00,07:12:00,09:03:00,09:05:00,09:40:00,09:42:00,10:59:00,11:02:00,13:39:00,13:41:00,15:24:00,15:31:00,18:42:00,18:44:00,19:32:00,19:36:00,22:46:00,22:49:00,24:08:00,24:08:00,26:09:00,26:11:00,28:52:04
8,1,4,Anna,Frost,female,34,,NZ,00:00:00,02:37:00,02:37:00,04:18:00,04:19:00,06:36:00,06:38:00,08:27:00,08:30:00,09:03:00,09:04:00,10:11:00,10:16:00,13:00:00,13:02:00,14:36:00,14:36:00,18:05:00,18:11:00,19:02:00,19:09:00,22:33:00,22:37:00,24:04:00,24:08:00,26:11:00,26:13:00,29:02:09
9,2,179,Emma,Roca,female,42,,ES,00:00:00,02:44:00,02:46:00,04:31:00,04:32:00,06:57:00,06:59:00,08:58:00,08:59:00,09:31:00,09:31:00,10:41:00,10:45:00,13:31:00,13:35:00,15:08:00,15:13:00,18:45:00,18:47:00,19:43:00,19:45:00,23:07:00,23:13:00,24:45:00,24:46:00,26:49:00,26:50:00,29:36:40
10,8,132,Grant,Guise,male,36,,NZ,00:00:00,02:40:00,02:41:00,04:29:00,04:30:00,06:56:00,07:02:00,09:02:00,09:05:00,09:44:00,09:45:00,10:58:00,11:01:00,13:54:00,13:59:00,15:39:00,15:56:00,19:39:00,19:45:00,20:33:00,20:43:00,23:40:00,23:45:00,25:12:00,25:18:00,27:35:00,27:38:00,30:35:54
